stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  7-9,0,0,0,0,0,9.17,0,0,0,0,0,0,18.87,0,0,0,10.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,20.12,0,0,0,6.64,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,1.69,0,0,0
 24-34,0,0,0,0,0,0,0,2.6,4.27,0.72,0,1.06,15.57,0,1.36,0,0,0,0,0,2.73,0,0
 36-46,0.91,0,0.8,0,0.63,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,3.48,0,0
 48-58,0,0,3.75,0.43,0,0,0,0,0,0.38,0,0,25.57,0,0,0.54,0,0,0,0,2.3,0,0
 60-70,0,0,8.5,0,0.59,0,0,0,0,2.52,0,0,13.35,0,0,0,0,0,0.97,0,0,0,0
 72-82,0,0.69,10.34,0,1.58,0,0,0,0,5.95,0,0,27.87,0,0,0,0,0,0,0,1.08,0,0
 84-94,0,0,0.61,0,0,0,0,0,0,0.65,0,0,6.7,0,0,0,0,0,0,0,1.48,0,0
 96-106,1.02,0,11.43,0,0,0,0,0,0,0.92,0,0,4.33,0,0,0,0,0,0,0,0,0,0.68
108-118,0,0,0,0,0,0,0,0,0.52,5.24,2.1,0,0.62,2.09,1.49,0,0,1.04,0,0,0,0.42,0
120,0,0,0,0,0,0,1.89,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0
