stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,32.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0
  7-9,8.71,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,14.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2,17.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.85,17.77,0,0,0,0,0,0,18.69,0,0,0,0,0
 24-34,0,0,2.67,0,0,0,0.62,0,0,0,0,0,0,0,0,0.72,0.64,0,0,5.33,0,0,1.92,159.63,1.13,1.47,0,0,0,0,39.66,0,0,0,0,0
 36-46,0,0,2.5,0,0,0,31.11,0,0,0,2.92,0,0,0,0,0,0,0,0,22.46,0,4.9,0.72,344.71,1.31,4.52,0,0,0,0,77.12,0,0,0,0,0
 48-58,0,0,0,0,0,0,128.93,0.51,0,0,9.12,0,0,0,0,0,0,0,0,12.41,0,0,6.15,501.58,6.08,0,0,0,0,0,86.27,0,0,0,0,0.4
 60-70,0,0,0.91,3.8,0,0,878.62,0,0,0.86,34.64,0,0,0,0,0,0,0,8.52,17.75,0,8.93,3.11,777.67,1.63,2.94,0,0,0,0,118.18,0,0,0,0,4.44
 72-82,0,0,3.62,9.63,7.19,0,1614.43,0,0.72,7.21,112.77,0.73,0,0,1.08,0,0,0,0,38.2,0,1.34,12.22,1014.6,0,3.24,0,0,3.6,0,75.55,0,0.73,4.41,0,0.67
 84-94,0,0,2.06,7.91,3.83,0,1072.28,0.56,0.62,0,94.76,3.71,0,0,2.41,0,7.61,3.57,0,44.62,0.57,0.57,3.53,764.41,0,3.23,0.72,0,5.78,0,75.85,0.62,1.86,11.36,0,2.4
 96-106,0,0,0,5.34,1.27,0,1510.18,4.47,0,0,110.97,2.33,0,0.58,0.66,0,0.76,8.37,0,43.08,0,2,0.79,577.31,0,8.18,0,4.44,3.02,0,37.44,1.02,0.77,1.83,0,0
108-118,0,0,1,11.1,2.1,0.62,1356.56,2.65,0,0,110.01,6.16,0,0,1.55,0,0,2.27,0,46.3,0,0,3.3,811.85,0,2,7.65,8.32,2.01,1.48,40.21,8.71,0,3.66,2.47,0
120,0,0,0,9.92,6.4,0,776.01,1.01,0,0,141.54,2.91,0,0,0,0,0,0,0,53.29,0,0,14.76,1169.39,0,18.81,0,0,5.03,0,25.66,0,1.95,0,0,0
