stage,neural,paraxial.mesoderm,spinal.cord
  7-9,4.57,0,0
 10-12,0,17.67,0
 24-34,1.63,0,0.75
 84-94,1.96,0,0
 96-106,1.11,0,0
108-118,1.44,0,0
