stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,185.45,2752.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.29,2464.63,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,68.09,0,0,0,10.03,39.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.31,20.77,0,60.73,0,0,0,113.79,0,0,0,0,0,49.37,0,0,0,0,0,0,0,0,0,0,0,920.66,0,0,0,258.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.54,0,20.95,0,0,0,70.84,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,358.57,4.45,0,0,93.24,3.1,9.81,0,11.23,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,21.66,2.65,0,9.63,0,0,0,1.09,1.76,0,0,0,0,0,0,0,0,5.6,0,0,4.15,94.7,3.06,0,0,0.8,4.59,0.91,3.23,1.29,0,5.95,43.47,0,0,2.91,0,1.85
 24-34,0,0,0,0.67,20.65,0.6,0,39.06,0,0,0,3.29,0,0,0,0.6,0,0,0,0.69,0,11.07,0.71,0,4.57,145.32,14.3,3.36,0.77,0,2.35,0,0,2.93,0,2.1,36.97,0,0,3.05,0,0
 36-46,0,0,0,0,8.22,0,0,39.67,5.14,0,0,17.79,0,0,0,0,1.03,0,0,1.62,0,17.78,0.68,0,3.89,330.83,18.86,1.21,1.55,0,12.47,0,1.05,0.59,7.79,0,105.16,0,0,10.22,0,0
 48-58,0,0,0,0,5.93,0,0,51.75,0.51,0.51,0,26.23,0.39,0,0,0,7.39,0,0,0.48,1.15,15.81,1.05,0,2.49,163.31,22.01,0,4.39,0,4.66,0,0,2.61,0,0,38.37,0,0,0.53,0,0
 60-70,0,0,0,0,2.75,0,0,45.68,0,0,0,11.52,0,0,0.84,0,0,8.97,0,0,1.83,47.54,0,0,0,74.54,6.8,5.23,0.87,0,9.61,0,0,0,0,0,18.51,0.65,0.65,0,0,0
 72-82,0,0,0.49,0,9.31,3.18,0,65.46,0,0,0,41,2.01,0,0,1.99,0.52,3.2,0.95,2.04,0,92.8,0,0.94,0.77,156.81,9.99,1.73,6.54,0,6.63,0,0,0,0,0,24.08,2.31,3.83,6.13,1.08,6.12
 84-94,0,0,0,1.01,11.05,0,0,53.95,0,0,0,44.66,3.06,0.99,0,0.86,3.29,0,0,0,2.81,83.09,0.92,0,1.65,93.28,13.23,4.8,12.6,0,33.96,0,0,2.39,0,0,23.64,1.47,0,1.7,0,0
 96-106,0,0,2.46,0,12.19,0,1.31,60.68,0,0.56,0.89,49.15,0,0,0,0.86,0.66,1.23,0.83,0,0,74.3,5.37,0,4.71,155.79,8.27,0,9.85,0,33.25,0,0,0,0,0,2.07,0,0.71,4.91,0,2.21
108-118,0,0,0,0,10.89,0,12.7,77.97,0,0.85,1.81,48.83,9.29,0,0,0.5,3.67,0.73,0,0.6,0,78.27,0.44,2.13,4.31,125.45,7.53,2.53,8.56,0,15.15,0,0,0,0,0,8.24,0,0,1.14,1.46,0
120,0,0,0,0,10.62,0,0,67.83,0,1.04,0,87.56,6.39,0,0,4.07,3.68,5.94,0,0,0,98.43,0,0,3.2,120.42,6.58,12.05,6.72,0,35.97,0,0,2.12,0,0,46.68,0,0,0,5.89,0
