stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.4,622.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,0
  5-6,65.04,613.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.84,0,0,0,22.19,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,0,30.06,0,0,0,38.63,0,0,0,0,18.71,0,0,0,0,0,0,0,0,0,0,468.32,11.43,0,0,134.68,0,0,0,0,0,0,0,0,0
 10-12,0,17.4,0,58.2,0,8.6,0,62.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.01,0,0,0,195.38,0,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,1.73,7.45,3.16,0,8.53,0,0,1.97,0,0,0,0,0,0,0,0,5.78,0,0,6,84.81,0,0,0,2.28,0,0,10.66,1.05,14.74,14.38,0,0,0
 24-34,0,0,0.8,0,0,0,0,11.38,0,0.74,2.03,0,0,1.04,0,0,0,1.43,0,15.18,0,0,2.43,185.75,0,0,1.43,0,0,0,0,0,6.25,32.97,10.72,0,0
 36-46,0,0,0,0,14.23,0,0,36.57,0,1.56,6.35,0,0,1.26,0,0,0.65,0,0,32.59,0,0,10.31,222.83,0,0,2.19,0,0,0,0,0,0.56,50.5,0.68,0,0
 48-58,0,0,0,0,1.01,0,0,57.35,1.35,1.2,20.77,0,0,0,1.28,0,0,0,0,27.52,0,0.8,9.35,173.41,1.36,0,0,0,0,0,0,0,0,37.02,0.5,0,1.32
 60-70,0,0,0,0,9.48,0,0,66.01,3.9,2.5,28.08,0,0,1.73,0,1.02,0,0,0,18.25,0,0,0.77,230.01,2.9,0,4.34,0,0,2.63,0,0,0,14.52,0,0,0
 72-82,0,0,0,0,7.4,7.93,0,46.63,0,0,13.31,0,0,0.79,0,1.09,0,0,0,21.49,0,0,8.36,111.26,0,2.51,0,0,1.31,1.5,0,0,0,5.58,6.34,0,2.36
 84-94,0,0,0,0,2.49,4.94,0,17.34,0,0.74,12.25,0,0,0,0,0,4.06,2.4,0,17.7,2.96,0,0,77.61,1.23,0,0,0,0,0.56,0,0,0,11.79,4.86,0,0
 96-106,0,0,0,0,4.43,2.01,0,33.8,0.69,0,25.1,0,0,0,1.41,0,0,0,0,30.54,0.78,1.91,1.92,65.42,0.66,2.75,0,0,3.14,3.43,0,0,0,13.66,0,1.44,0
108-118,0,0,0,0,8.5,1.27,0,35.55,3.25,2.78,18.02,0.67,0,0,0,0.57,0.74,0,0,22.67,0,4.43,2.53,114.98,6.17,2.11,0.67,0,0.76,7.27,0,0.44,0,6.68,0,0,0
120,0,0,0,0,3.86,3.69,2.68,47.54,4.56,0,15.51,0,0,0,0,0,2.63,0,6.47,15.86,0,0,1.26,218.17,0,3.9,1.25,0,0,0,0,0,0,0,0,0,0
