stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.87,2930.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.96,0,0,0,0,0,0,0,0,0,0
  5-6,87.48,9956.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.55,0,0,0,0,0,70.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,383.99,39.2,0,0,0,485.52,0,0,0,0,0,36.93,0,0,0,0,0,0,0,0,0,0,0,20060,20.44,0,0,1097.86,0,30.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,98.75,53.86,0,0,0,82.09,0,0,0,0,0,15.75,0,0,0,0,0,0,0,0,0,0,0,12655.24,8.45,0,0,453.52,0,31.22,0,18.78,0,0,0,0,0,0,0,0
 14-21,0,0,2.41,7182.78,8.88,0,23.87,0,8.45,0,0,0,5.99,0,0,42.26,0,16.07,0,16.8,5.35,26.52,0,2.16,190.82,8.28,0.84,40.44,1.89,0,758.52,5.16,3.65,0,14.31,17.8,0,0,4.18,0,0.87
 24-34,0,0,0,2017.63,2.07,0,31.73,0,73.63,9.16,15.44,1.31,1.41,0.69,2.63,57.66,0.83,53.85,0,38.62,33.99,65.8,0,15.76,784.72,3.36,3.07,8.98,0,0,2004.73,0,0.94,5.89,5.29,37.7,0,0,22.83,0,8.12
 36-46,0,0,0,765.05,4.4,0,605.36,0,132.69,44.67,22.05,0.56,0,0,0,47.34,0.71,27.82,10.06,71.28,47.97,58.69,0,6.6,953.3,0,1.71,10.29,0,0,2093.84,0,0,0,0,22.77,0,0,1.39,0,13.08
 48-58,0,0,0,546.77,3.36,0,2033.03,0,140,58.33,50.64,1.09,0.75,0.6,0,30.17,3.8,31.81,0,63.95,52.06,41.66,9.63,4.34,902.96,11.84,3.89,4.34,0,0,1177.95,0,0,0.5,0,50.08,0,0,3.53,0,24.49
 60-70,0,0,0,459.79,0,0,3887.9,0,134.7,78.1,32.04,1.34,1,0,0,8.45,0,21.09,0,23.95,99.84,37.08,0.89,2.45,603.84,6.91,2.13,2.73,0,0,1076.84,0,0.63,0,0,41.01,1.99,0.68,0,0,30.06
 72-82,0,0,0,362.89,5.93,0,2252.2,0,62.79,59.96,44.9,1.43,0,0,0,3.8,0,22.09,3.49,17.25,100.3,38.42,0,7.22,402.89,0,1.95,6.24,0,1.53,609.57,0,0,1.5,0,23.73,6.42,3.08,5.3,0,51.46
 84-94,0,0,0,666.1,4.04,0,1363.58,0,160.19,51.3,53.53,5.31,0,0,3.64,20.79,11.58,10.06,0,72.89,94.91,46.21,4.37,4.34,441.35,3.84,0.64,0,0,0,1851.38,0,1.19,0,0,17.41,18.76,0,1.16,0,33.24
 96-106,0,0,0,664.02,30.89,0,1097.87,0,126.46,26.93,34.24,10.08,0,2.59,4.19,17.91,2.73,13.12,55.02,28.13,109.4,98.3,0,2.91,337.72,0,2.22,2.81,0,5.22,1574.56,0,0,0,0,2.21,3.81,3.13,11.3,0,21.48
108-118,0,0,0,711.3,4.5,0.6,1009.9,0.76,158.84,32.9,50.97,10.6,0,0.52,7.22,19.25,0,12.76,0,68.62,68.06,72.58,0,3.36,219.12,6.81,0,0,0,0,1264.81,0,0,0.42,0,3.64,25.61,2.65,5.83,5.11,30.34
120,0,0,0,737.52,5.93,5.4,943.55,0,137.11,32.53,109.31,4.97,0,0,2.76,18.76,0,9.05,19.69,34.04,85.96,52.53,0,2.8,274.36,0,5.25,0,0,0,996.56,0,0,0,0,2.39,1.77,6.25,0,0,7.81
