stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste
  3-4,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.97,0,0,0,0,0,0,3.16,0,2.15,3.36,0,0,0,0,0.86,6.1,0
 24-34,0,1.1,0.83,0,0,0.68,0,0,0,0,0.66,0,4.2,0,5.36,26.93,0,0,0,0,0,5.42,0
 36-46,0,0,0,0,0.56,1.12,0,0,0,0,0,0,5.56,1.72,0,117.57,0,0,0,0,0,11.36,0
 48-58,0,0,0,0.62,5.7,1.1,0,0,3.82,0,1.87,4.15,6.98,0,0.58,275.93,1.35,3.12,0,0,0,35.01,0
 60-70,0,2.81,0,0,18.36,1.13,0,0,0,0,0,1.05,2.44,0,0,558.1,0,2.84,0,0,0,90.04,0
 72-82,0,3.92,0,0,22.58,2.77,1.49,0,0,0,0,21.49,1.6,0,0.71,521.88,0,0,1.42,0,0,84.05,0
 84-94,0,3.34,0,0.95,22.33,2.06,0,0,0,0,0,16.32,4.59,0,0,250.77,0,0.66,0,0,0,69.72,0
 96-106,0,2.74,0,4.08,48.35,8.44,0,0,0,0,0,12.41,0,0,0,266.98,0,2.72,0,0,0,44.75,2.03
108-118,0,0.93,0,3.05,28.84,3.47,0,0,0.81,0.42,0,7.61,3.48,0,0.53,322.35,0,2.18,0,0.65,0,24.17,0
120,0,0,0,0,86.42,2.03,0,4.47,0,0,4.16,1.61,14.89,0,1.49,463.11,0,1.84,0,0,0,25.35,0
