stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42,0,0,0,6.63,0,0,0,0,0,0,0,0
 10-12,23.75,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,11.73,4.36,0,0,6.59,0,0,0,0,0,0,0,0
 14-21,0,2.08,1.05,0,0,0,0,0,0,0,0,0,3.11,0,0,1.76,8.31,0,0,0,0,0,0,0,6.28,0,0,0,0
 24-34,0,10.3,0,2.67,0.75,0,0,2.45,0,0,0,0,33.96,0,2.43,6.26,214.45,0.83,0,0.88,0,0,0,0,24.54,0,0,0,0
 36-46,0,5.92,0,15.89,0.65,0,0.65,3.07,0,0,0,0,65.14,0,0.92,10.98,684.67,0,1.47,0.69,0,0,1.41,0.67,55.79,0,0.81,0,0
 48-58,0,3.07,0,40.19,1,2.53,1.65,7.47,0,1.31,3.42,0,75.29,0.59,0.77,8.81,887.05,0.39,0,5.25,0,0,0,0,53.39,0,0,0,0
 60-70,0,3.6,0,90.56,0.68,0,4.12,25.39,0,0,0.62,0,135.82,0,4.7,11.26,1395.99,0,0,0,0,0,0,0,90.57,0,0.75,0,8.7
 72-82,0,22,0.69,90.12,0,2.43,2.36,50.05,1.52,0.73,0,0,201.76,0,7.78,9.63,1080.9,0,0,15.2,0,1.03,1,0,67.52,0,4.45,0.56,0
 84-94,0,9.84,0,126.24,1.16,1.15,0.59,24.35,0,2.4,0,0,124.54,0,5.01,12.81,871.83,0.62,0,1.82,0,0,0.66,0,52.56,4.51,0,3.48,0
 96-106,0,3.94,2.93,56.99,0,1.64,5.68,45.18,0.58,0,0,1.8,110.29,0,4.34,6.16,599.79,0,2.32,1.39,0,2.97,1.35,0,25.95,0.92,1.88,0,4.01
108-118,0,6.96,1.92,64.07,1.3,0.42,6.18,35.86,4.43,4.47,1.01,1.09,142.71,2.89,1.75,2.12,863.54,0.41,0.57,1.65,0,0,0,0,25.56,1.91,0,2.6,0
120,0,0,0,172.37,12.08,0,0,118.05,0,4.89,0,6.87,83.94,1.56,5.94,6.09,1707.68,0,0,0,0,0,0,0,40.57,0,0,12.28,0
