stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,153.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.01,0,0,0,0,0,0,0,0,0
  5-6,114.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.13,0,0,0,25.66,0,0,0,0,0,0,0,0,0,0
 10-12,16.63,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,7.04,0,0,4.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.6,2.39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02,38.59,2.57,0,0,0,9.42,1.13,0,3.77,10.87,0,0,0,0,0
 24-34,0,0,3,0,0,3.93,0,0.6,0,0,0,0,0,0.63,0,0,4.62,0,0,2.92,65.31,0.64,1.01,1.03,0,20.72,0,0,0.66,12.27,0,0,3.23,0,0
 36-46,0,0,1.77,0,0,4.71,0,5.33,4.21,1.92,0.72,0,0,0,0,0,13.62,0.56,0,1.55,59.79,3.22,0,0,0,24.47,0,0,0,20.65,0,0,0,0,0
 48-58,0,0,0.54,0,0,10.68,0,1.12,0.59,4.18,0,0,0,0,0,0.41,5.77,0.42,0,0.74,48.25,0,0,0,0,17.38,0,0,0,10.32,0,0,0,0,0
 60-70,0,0,2.32,0,0,8.11,0,2.35,0,0.8,0,0,0.61,0,0,0,8.11,0,1.7,0.82,32.63,0,0,0,0,10.23,0,0,0,6.13,0,0,0,0,0
 72-82,0,0,1.72,0,0,25.47,0,0,0,2.38,0,0.71,0,1,0,0,15.67,0,0.75,2.15,40.27,0,0,0,0,4.53,0,0,0,8.57,0,0,0,1.28,0
 84-94,0,0,1.69,0,0,24.15,0,1.2,0,7.29,0,0,2.96,0,2.07,0,11.45,0,1.27,2.94,29.36,0.61,0,0.88,0,11.72,0,0,0,2.73,1.06,0,7.19,0.98,0
 96-106,0,0,9.37,0,0,8.98,1.41,0,3.48,9.12,0,1.08,1.05,0.75,0,0,10.81,0.69,0,0.59,25.82,0,0,0,0,13.18,0,0,0,0,0,0,0.69,0,4.77
108-118,0,0,4.07,0,0,8.44,0,3.96,0.59,5.88,3,0,2.87,0,1.34,0,14.51,0,1.06,0,32.45,0,0,0,0,8.87,0,3.63,0,1.99,0,0,0.6,0,0
120,0,0,12.16,0,1.03,2.82,0,0,1.52,7.22,2.39,0,0,0,0,0,21.88,4.55,0,0,26.47,0,0,0,0,24.98,0,0,0,0,0,2.93,0,0,0
