stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.62,1028.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.8,481.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,11.91,0,0,26.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,3.62,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,60.19,0,0,0,0,28.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.49,2.37,0,17.12,0,0,0,0,2.37,0,0,0,0,0,0,0.91,15.29,0,0,9.21,185.35,3.6,0,2.04,0,0,2.44,0,4.87,2.37,0,7.58,28.32,0,0,9.41,0,0
 24-34,0,0,2.29,1.35,32.37,1.87,0,60.46,0,6.77,0.61,36.87,3.22,6.7,0,0,4.26,0,5.19,5.67,89.03,0.76,0.82,39.64,2520.34,20.02,4.21,15.9,0,0,7.56,0,0,13.46,0.85,3.9,483.81,0,0,102.9,0,0
 36-46,0,0,2.57,0,17.36,0,0,64.06,0,2.55,0,205.91,0.66,4.99,0,0,2.56,2.82,0.59,17.43,159.47,1.07,3.98,16.53,2604.59,20.55,0.57,8.2,0,0,21.9,0,0,16.21,0,0,904.23,0,0,40.58,0,10.13
 48-58,1.15,1.29,0.46,0,31.7,2.22,0,122.33,0,20.07,1.21,319.24,2,6.11,0,5.33,5.61,2.08,3.77,9.21,221.08,0.48,1.45,17.7,1373.67,31.87,0.86,8.2,0,2.62,0.56,0,0,2.71,5.07,0,643.81,0,0.61,46.74,0,27.85
 60-70,0,0,0,0,54.95,0,0,126.92,5.55,14.06,11.68,201.64,10.69,4.69,0,0,15.89,0.73,4.39,8.52,345.86,2.18,5.55,45.05,747.8,16.83,0.89,19.96,0,1.93,1.42,0,0,4.62,5.13,0,234.63,0,5.68,15.64,4.82,47.93
 72-82,0,0,1.11,0,40.14,8.82,0,139.33,2.09,13.34,11.17,256.8,16.62,5.32,1.64,4.64,18.34,1.98,0.62,17.8,475.15,0.73,12.85,21.34,673.33,6.42,3.45,21.77,0,4.02,4.66,0,0,3.26,1.21,0,112.59,0,11.92,50.68,22.69,55.85
 84-94,0,0,2.52,1.04,93.02,5.94,0,176.39,1.09,23.99,12.36,226.4,36.57,7.78,0,0.74,21.03,0.65,6.67,22.84,395.16,0.71,11.37,22.44,406.11,6.66,0,28.13,0,4.02,5.88,0,0,8.72,0.72,0,111.11,3.97,9.96,75.43,12.03,30.76
 96-106,0,0,1.92,0,60.12,7.83,0.94,139.73,1.08,20.56,9.85,296.27,35.86,2.93,3.06,0,26.34,3.04,0,9.86,424.22,1.49,16.94,10.58,446.77,5.8,1.08,20.67,0,1.62,9.77,1.35,0,2.55,2.57,0,77.12,1.37,13.85,63.71,18.99,30.72
108-118,0,0,3.4,1.89,95.19,0,0,165.8,2.37,31.01,3.6,341.76,36.01,1.78,3.37,1.51,42.24,1.44,0,19.57,379.47,0,11.59,22.95,658.87,3.53,0,38.03,0,6.29,9.8,0,0,2.97,0.44,0,82.5,4.83,6.88,46.77,16.31,46.11
120,0,0,0,0,111.8,0,1.71,141.09,7.13,45.39,9.02,397.02,18.58,5.19,22.8,0,56.8,0,0,7.19,475.52,2.29,2.47,7.85,1047.99,5.52,0,34.96,0,5.29,9.9,0,0,5.98,2.35,0,82.16,1.27,8.3,144.87,84.97,9.4
