stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.02,0,0,0,0,0,0,0,0,20.75,0,0,0,0,0,0
 10-12,0,0,0,0,8.05,0,0,0,0,0,0,14.11,0,0,0,0,0,0
 14-21,0,10.64,1.14,2.16,0.81,0.92,0,2.15,0,0,0,3,0,0,0,0,2.57,0
 24-34,0,8.72,0,0,1.07,0,0,0,0,0,3.58,12,0,0.79,0,0,2.12,0
 36-46,0,6.5,0,0,13.45,0,0,0,0,0,0,13.25,0,0,0,0,8.65,0
 48-58,0,2.41,0,0,1.11,2.8,0,0,0,0.99,0,8.03,0,0,0,0,3.78,3.64
 60-70,0,2.62,0,0,0.92,9.62,0,0,0,0.71,0,3.88,0,0,0,1.24,0.92,0
 72-82,0,9.01,0,0,0.67,2.6,2.42,0,0,0,0,2.2,0.72,0,0,0,0,0
 84-94,0,11.47,0,0,0.71,0,0.73,0,0,0,0,9,0,0,0,0,1.74,0
 96-106,0,12.68,0,0,0,1.17,6.38,0,0,1.76,0,3.82,0,0,1.8,0.73,1.86,0
108-118,0,17.89,0,0,0,0,3.06,0,0,0,0.59,6.02,0,0,0,1.69,0.96,0
120,0,9.18,0,1.34,0,0,0,0,1.97,0,0,12.05,0,0,0,3.15,0,0
