stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,43.33,233.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.45,0,0,0,0,0,0
  5-6,64.83,875.55,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,49.2,7.94,0,0,7.11,8.13,0,0,0,0,0,0
  7-9,28.33,29.27,0,0,39.05,0,0,0,0,15.16,0,0,0,0,0,0,232.37,0,0,0,111.11,0,0,0,0,0,0,0
 10-12,0,7.9,0,0,18.76,0,0,0,0,9.19,0,0,0,0,0,0,266.79,30.39,0,0,73.67,0,10.95,0,13.25,0,0,0
 14-21,0,0,0,5.49,0.96,0,0,1.34,0,0,0,0,0,0,5.38,3.74,24.85,0,0,1.14,0,5.32,0,1.88,0,1.27,14.41,0
 24-34,0,0,0.65,0.7,2.23,0.89,0,0,0,0,0,0,0,0,2.32,1.43,29.29,0,1.24,0,0,3.72,0,0,0,0,7.32,0.78
 36-46,0,0,0,0,3.63,0,0,14.7,0,0,0,0,0,0,7.07,0.71,24.07,0,0.87,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,3.48,4.49,0.55,1.12,8.22,0,0,0,0,0,0,24.95,0,29.02,0,0,0.47,0,9.32,0,0,0,0,2.27,0
 60-70,0,0,0,3.23,3.87,0,1.21,1.59,0,0,0,0,0,0,41.73,0.9,16.07,0,0,0,0,3.52,0,0,0,0,0.8,0
 72-82,0,0,0,0,2.12,0,2.38,5.5,0,0,0.53,0,0.94,0,35.17,1.32,18.58,0,0,0,0,15.97,0,0,0,0,1.96,0
 84-94,0,0,0,0,4.25,1.22,0,2.02,0,0,0,0,2.13,2.28,29.5,0,7.18,0,0,0,0,5.04,0,0,0,0,0,0
 96-106,0,0,0,1.14,1.51,0,0,2.17,0,0,0,0,0.57,0,28.93,0,5.16,0,0,0,0,7.34,0,0,0,0,0,0
108-118,0,0,0,0.85,0,0,0,3.93,0.53,0,0,0.9,0.43,0,17,0,0.92,0,0,0,0,5.09,0,0,0,0,0,0
120,0,0,0,1.59,0,1.06,0,2.94,0,0,0,0,0,0,6.28,0,0,0,0,0,0,1.73,0,0,0,0,0,0
