stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.68,287.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,418.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,18.19,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,8.85,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.2,5.33,0,0,45.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.5,0,65.7,0,0,0,46.77,0,0,0,0,0,3.5,0,0,0,0,0,93.66,0,0,0,0,0,371.44,0,0,0,85.44,0,0,9.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.34,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,908.35,0,3.33,0,0,1.97,12.06,2.45,0,0,0,0,0,37.2,0,4.69,3.22,0,0,0,0,0
 24-34,0,0,0,5.4,0,0,0,4.11,0,0.62,0,0,2.38,0,0,0,0,0,0,1009.74,0,2.17,0,0,2.38,43.05,0,1.54,0,0,0,11.09,233.53,0,0,4.28,0,0,7.82,0,3.42
 36-46,0,0,0,0,6.68,0,0,2.52,0,2.5,0,0,16.04,0,0,0,0,0,0,362.74,0,10.72,0,0,0,39.84,0,0,0,0,0,28.73,160.65,0,0,6.42,0,0,0,0,10.95
 48-58,0,0,0,0,0.4,0,0,12.23,0,0,0.56,0.77,36.52,0,0,0,0,0,0,238.17,0.56,4.29,0,0,0.42,16.64,0,0,0.64,0,0,0.88,90.1,0,0,5.09,0,0,0,0,5.62
 60-70,0,0,1.73,0,4.83,0,14.57,6.79,0,0,0.85,2.36,142.69,0,0,0,0,1.14,0,314.1,0,4.98,0,0,0,52.68,0,0.95,0,0,0,0,117.82,0,0,3.42,0,0,0,0,0
 72-82,0,0,5.91,0,0.69,0.83,71.49,55.24,6.88,0.78,8.55,7.47,349.43,0,0,4.23,0,0,0,728.91,0,24.64,0,0.55,1.66,184,1.43,1.45,1.63,0,2.19,3.64,248.2,0,0,11.77,3.98,0,0.98,0,7.14
 84-94,0,0,6.75,0,6.82,3.68,155.24,26.6,0,1.8,7.27,8.2,686.18,0,0,0,2.19,0,0.61,1717.92,0,27.22,8.8,0,0,123.71,12.99,0,0,0,7.18,20.59,539.45,0,0,2.27,0,2.79,0,2.07,4.35
 96-106,0,0,15.72,0,25.53,36.1,143.17,200.03,0,6.27,12.19,32.71,1429.28,0,0.87,13.99,1.18,1.19,3.1,3567.58,0,100.26,4.41,4,3.87,636.04,2.03,0.6,7.59,0,0,35.45,639.31,0.74,0,4.27,5.71,1.26,17.99,0,6.85
108-118,0,0,8.92,0,30.03,19.42,283.33,166.92,3.22,3.82,14.81,39.71,2068.62,0,0,6.52,0.97,3.71,4.14,6602.9,0,112.79,0,4.2,8.94,529.97,3.44,1.27,2.09,0,1.49,18.91,980.52,0.66,0,9.93,0,0.86,5.51,1.61,9.6
120,2.37,0,2.52,0,53.88,18.49,80.16,126.37,0,1.65,43.68,22.92,1799.06,0,0,9.71,0,3.12,0,4035.56,0,134.03,4.67,11.82,9.74,451.17,0,2.88,0,0,0,10.76,671.7,1.37,0,0,0,3.48,12.45,1.43,0
