stage,eye,mesenchyme,neural,presomitic.mesoderm,spinal.cord,xanthophores
 14-21,0,0,0,0.84,0,0
 24-34,0,0,0,0,1.27,0
 36-46,0,0,0,0,1.17,0
 48-58,2.66,0,1.7,0,0,0
 60-70,0,0.76,2.42,0,0,0
 72-82,3.11,0,0,0,0,2.27
 96-106,6.31,2.04,0.69,0,0,0
