stage,axial,blastomeres,epidermis,eye,glial,gut,heart,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,110.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.63,197.71,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,9.44,0,6.14,0,0,0,0,0,0,0,114.46,4.4,0,0,23.87,0,0,0,0,0,0
 10-12,0,9.09,0,7.98,0,0,0,0,0,0,0,56.19,9.05,0,0,50.43,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.84,0,0,2.84,0,0,0,0,0,0,1.13,0,0,0
 24-34,0,0,4.39,14.19,0,0,0,0,2.37,0,0,3.06,0.79,0,0,0,0,0,0,1.21,0,0
 36-46,0,0,0,6.92,0,0,0,0,0,0,0,7.57,0,1.15,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.96,0.37,0,0,0.58,0,0,0,8.84,0,0,0,0,0,0,0,3.23,0,0
 60-70,0,0,0,93.65,0,0,0,0,2.5,0,0,24.51,0,0,0,0,3.19,0,0,5.58,0,0
 72-82,0,0,0,378.93,0.77,0,0,0,4.6,0,0,16.11,0,0.93,0,0,0,0,0,0.64,0,0.79
 84-94,0,0,1.25,380.74,2.21,0,0,0,0,0,0,7.59,0.62,0,0,0,0,1.07,0,0,3.41,0
 96-106,0,0,1.74,394.17,8.29,0,0.71,0,6.24,0,0,6.37,0,0,0,0,1.21,0,0,0,0,0
108-118,0,0,0.72,423.06,3.47,0.66,0,0,0,1.38,0,7.77,0,0,1.26,0,0.86,0,0,0,0,0
120,0,0,0,469.96,0,0,0,0,0,0,1.25,13.15,0,0,0,0,2.24,0,0,0,0,0
