stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,41.27,829.92,0,0,0,0,0,0,0,0,38.64,0
  5-6,36.11,594.97,0,0,0,0,0,0,0,0,7.22,0
  7-9,0,0,3.59,0,0,0,0,69.16,4.19,14.47,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.05,0,0
 14-21,0,0,0,0,0,0,0,1.07,0,0,0,0.87
 24-34,0,0,0,0,0,0,0,4.42,0,0,0,0.91
 36-46,0,0,0,0,0.57,0,0,6.14,0,0,0,1.16
 48-58,0,0,0,1.01,2.98,0.44,0.9,6,0,0,0,1.64
 60-70,0,0,0,0,0.88,0,0.6,2.69,0,0,0,0
 72-82,0,0,0,0,1.67,0,0.49,1.81,0,0,0,6.11
 84-94,0,0,0,0,1.54,0,0,5.85,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.16,0,0,0,0
108-118,0,0,0,0,0,0,0,2.51,0,0,0,0
