stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.88,384.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0
  5-6,86.72,699.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,210.21,26.71,0,1956.19,0,0,39.16,0,0,0,0,0,42.21,0,0,0,0,0,0,0,0,0,1246.77,164.7,0,670.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,4282.93,0,0,10.78,0,0,0,0,0,21.61,0,0,0,0,0,0,0,0,0,1561.23,169,0,844.71,0,0,4.76,47.3,0,42.53,0,0,0,0,0,0
 14-21,0,0,15.96,355.64,718.12,49.46,35.08,0,0,0,0,320.19,3.52,0,0,0,1.45,2.6,0,47.75,0,79.44,75.72,157.11,8.96,160.35,0,0,66.78,2.71,315.64,406.18,172.8,0,0,2.18,0,9.59
 24-34,0,0,9.26,2.31,31.05,0,121.83,0,0,8.65,0,3.84,0,0,0,0,37.74,3.56,2.56,123.86,0,101.73,41.48,18.9,2.39,0,0,0.72,2.33,0,146.22,81.87,122.83,0,0,17.81,0,66.97
 36-46,0,0,5.39,0,15.4,0.67,155.16,5.74,11.4,28,0,0,0,2.33,0,0,109.25,0,1.53,92.33,1.42,47.47,111.67,2.59,0,0,0,7.27,0,0,36.59,0,36.66,0,0,20.09,0,109.9
 48-58,0,0,2.21,0,27.34,0,132.3,0,2.2,13.85,0.41,0,0,0,0,0,221.97,0.48,0,184.19,3.97,7.9,36.89,0,0.48,0,0,0.41,0,0,4.14,0,4.41,0,0,3.39,4.78,45.92
 60-70,0,0,0,1.19,0,0,134.94,1.26,19.76,16.86,22.71,0,0,0,0,0,363.05,0,0.88,235.89,10.96,3.75,37.51,1.33,0,0,0.71,4.77,0,0,0,0,13.57,0,0.9,3.14,0.64,21.83
 72-82,0,0,0.9,0,7.02,0,198.13,2.96,1.21,12.1,24.37,0,0,0,0,2.52,413.88,0,0,405.37,1.87,3.81,53.92,0,0,0,0,0,0,0,0,0,3.02,0.86,1.24,4.64,21.93,2.57
 84-94,0,0,1.66,0,1.3,0,139.03,2.64,3.55,13.72,19.22,0.62,0,0.8,0,0,647.24,0,0,493.85,1.82,1.68,25.69,1.12,0,0,0,0.66,0,0,0,0,6.19,0,2.61,1.31,27.57,13.29
 96-106,0,0,0,0.72,4.14,0.68,129.67,2.1,5.8,9.16,107.27,0,0,0,4.95,0,447,2.1,0,354.19,1.35,0.76,26.89,2.98,0,0,1.32,3.01,0,0,0.64,0,0,1.64,1.2,14.27,40.1,13.43
108-118,0,0,0,0,1.4,1.32,124.41,4.18,11.87,12.7,60.78,0,0,0,0,1.07,637.8,0.86,0.91,275.76,12.54,4.81,31.33,0,0,0,5.85,0,0,0,0,0,3.9,0,2.38,2.52,39.21,10.14
120,0,0,0,0,6.91,0,110.12,8.67,5.71,21.79,102.7,0,0,0,0,1.48,383.41,1.66,0,424.11,11.56,6.61,47.78,0,0,0,0,2.45,0,0,0,0,0,0,4.14,0,233.26,0
