stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.86,1862.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,0,0,0,0,0,0,0,0,0,0
  5-6,77.54,1660.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.73,0,0,0,8.05,0,43.61,0,0,0,0,0,0,0,0,0,0
  7-9,0,52.76,0,25.84,0,0,0,13.03,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,940.66,12.07,0,0,727.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.1,0,41.24,0,5.18,0,8.43,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,676.67,14.82,0,0,294.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.24,14,1.21,0,4.72,0,0,2.71,2.38,0,0,0,1.84,0,0,5.62,0,0,5.06,133.06,6.85,6.19,0,1.78,0,17.39,0.84,0.85,1.17,10.91,70.85,0,0,2.02,0,0
 24-34,0,0,0,0.73,4.02,0,0,20.83,0.91,0,1,0.74,0,0,0,0.64,3.29,0.73,4.88,0,0,0,127.26,0,44.2,0,0,0,21.75,0,1.26,0,0,30.36,0,0,4.83,0,0
 36-46,0,0,0,0,0,0,0,23.67,0,0,0.77,0.56,0,0,0,0,2.85,0,1.64,0,0,0,67.71,0.57,4.42,2.38,0,0,41.1,0,0,0,0,13.09,0,0,1.83,0,0
 48-58,0,0,0,0,2.09,0,0,15.76,0,1.8,0,0,0,0,0,0,7.63,3.53,12.78,0,0.53,0,14.39,0,4.29,0,0,0,9.62,0,6.15,0,0,8.99,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.59,0,0,0,0.63,0,0,0,0,0,0,1.69,0,0,0.88,7.71,0,4.15,0,0,0,14.53,0,0,0,0,0,0,0,0.7,0,0
 72-82,0,0,0,0,0.53,0,0,14.27,0,0,7.91,0,0,0,0,0,5.19,1.79,4.17,0.59,0.89,1.22,4.82,0,0.53,2.46,0,0,11.18,0,0.64,0,0,2.72,0,0,0.56,0,0
 84-94,0,0,0,1.01,1.41,0,0,1.15,0,0.59,5.16,1.05,0,0,0,1.18,12.57,0,6.2,0.76,2.02,0,5.96,0,3.26,2.11,0,0,9.6,0,0,0,0,1.41,0.74,0,0,0,0
 96-106,0,0,0.87,0,3.04,2.97,0,7.41,1.02,0,1.39,0.57,0,0.95,0.68,1.28,35.01,0.8,8.76,0,1.88,0.8,6.59,0,4.81,1.16,0,0,8.9,0,0,0,0,0,1.4,0,2.82,0,7.18
108-118,0,0,0.57,0.49,2.95,0.85,1.26,4.83,1.4,0.73,0.71,3.91,0,0,0.7,0,32.94,0,8.78,0,0.97,0.44,9.48,0,1.13,0.72,0,0,9.98,0,2.68,0,0,0,0,0,1.33,3.8,0
120,0,0,0,0,4.83,2.41,1.91,2.6,0,0,0,10.87,0,0,0,1.36,11.75,0,3.28,0,0,0,16.41,1.45,3.5,0,0,3.42,10.4,0,2.85,0,0,0,0,5.4,0,0,0
