stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,373.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.42,870.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.51,0,0,0,37.7,0,38.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,98.05,86.66,0,105.71,0,0,0,243.89,0,0,0,0,0,59.4,0,0,0,0,0,0,0,0,0,0,1589.72,66.66,0,0,618.24,0,0,26.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.9,0,63.89,0,9.13,0,119.58,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,1470.05,64.89,0,0,449.87,0,4.33,5.95,0,41.91,0,4.35,0,0,0,0,0,0
 14-21,0,0,1.09,7.5,47.63,15.76,0,44.69,0,0,0,12.7,3.93,0,3.55,0,0.86,0,0,0,0.94,63.08,0,43.64,501.89,6.65,0.83,10.28,14.43,0,6.68,3.89,57.35,5.48,1.46,54.77,193.49,0,0,4.83,0,0
 24-34,0,0,0,1.37,13,2.1,0,94.22,0,0,2.06,22.74,1.74,0,3.78,3.83,0,1.81,4.39,5.1,0.62,86.31,0,25.66,1169.26,8.18,5.91,7.61,0,0,6.1,0,2.17,0,1.64,9.44,270.86,0,0,15,0,3.54
 36-46,0,0,0,0,10.69,1.27,0,225.15,1.56,1.12,2.07,31.5,0.95,0,0,0,0,1.11,0.7,5.5,4.8,94.33,0,21.83,1455.55,17.73,2.35,7.11,0,0,10.12,0,0,4.09,2.01,0,309.2,0,0,24.9,0,3.22
 48-58,0,0,0,0,22.89,0,0,428.66,0.97,0,2.54,71.2,0.91,0,2.22,0,0.48,8.57,1.03,8.95,8.57,97.67,2.41,18.25,1254.17,1.39,2.05,14.34,0,0.95,0,0.65,0,1.07,2.4,0,266.56,0,0.51,19.81,0,12.1
 60-70,0,0,0.57,0,5.49,0,0,661.7,1.8,7.34,8.15,59.88,0,0,0.66,0,0,1.8,0.88,0,0.59,153.52,6.87,15.79,1252.04,1.13,3.5,10.8,0,0.63,3.54,0,0,0,0.73,0,191,0,0,9.09,0,18.91
 72-82,0,0,0,0,10.45,18.66,0,566.58,7.1,0,14.56,66.21,0,0,3.13,1.1,0.5,14.75,0,1.08,0,154.58,12.93,18.61,934.81,1.01,1.12,7.53,0,3.01,6.72,0,0,1.25,0,0,127.48,0,2.35,24.57,6.57,12.43
 84-94,0,0,0.66,0,9.57,0.67,0,318.18,0,0,7.74,57.16,1.34,0,0,0,4.11,11.51,0.65,0,9.15,122.58,1.95,8.99,648.73,1.52,5.17,3.09,0,0,1.53,0,0,1.71,0,0,97.97,0,3.69,21.02,8.32,6.89
 96-106,0,0,0,0,6.54,13.73,1.07,321.3,3.52,0,10.43,51,2.16,0,2.7,0.66,0,5.63,0.71,10.62,5.26,93.57,1.67,18.18,478.49,1.26,5.68,10.76,0,0,0.8,0,0,0,1.63,0,27.42,1.63,4.51,13.55,4.49,0
108-118,0,0,0.71,0,5.26,3.58,0,361.41,0.98,1.12,2.05,63.38,3.42,0,0.49,0,0,5.62,0.51,0.86,4.26,147.65,3.47,11.92,758.58,3.73,8.35,4.66,0,3.44,2.13,0,0,1.91,0.69,0,44.59,1.36,1.89,7.02,4.8,18.22
120,0,0,0,0,9.46,0,0,365.54,1.49,0,27.87,123.45,0,0,0,0,1.48,3.3,2.64,0,1.64,108.01,12.5,9.97,1124.41,0,7.46,17.13,0,6.29,1.42,0,0,0,0,0,49.07,2.31,17.57,39.08,17.15,0
