stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,23.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,33.61,0,0,0,17.62,0,0,0,0
 24-34,0,0.75,1.76,0,0,0,0,0,0,1.59,0,0,0,0,0,0,1.99,0,0,283.36,10.76,0,0,33.28,0,0,0,1
 36-46,0,0,0,0,0,15.85,1.6,0,0,0,0,0,0,0,0,15.48,4.85,0,0,739.03,12.93,0,1.49,109.27,0,1.9,0,3.36
 48-58,0,0,0,0,0,59.66,0,0,0,3.05,0,0,0,0,0,6.6,4.44,4.89,1.49,843.49,3.68,0,0,161.34,0,0.93,0,0.66
 60-70,0,0,0.57,0,0,154.87,0,0,0,4,0,2.57,0,1.9,0,0.86,1.76,0,0,1396.84,2.81,0,0,144.53,0,0,0,4.52
 72-82,0,4.09,2.93,0.99,0,255.98,0,0,3.21,15.55,0,1.07,0,0,0,8.4,35.39,0,0,1127.13,13.49,0.95,1.2,102.21,1.16,0.81,0,13.17
 84-94,0,5.64,2.34,0,0,186.57,0,0,0,21.71,1.52,0,0.99,20.5,0,6.24,6.57,0,0,713.32,4.15,1.59,1.76,38.26,0,0,0.57,0
 96-106,0,1.92,4.08,2.25,0,166.11,0,0,2.3,6.86,0,0,0,6.41,1,0,6.06,0,0,607.63,6.37,1.09,0.71,33.06,0,0,0,0
108-118,0,0,5.41,0.41,0,141.94,0,0.44,0,9.69,2.08,0,0.72,18.97,0,1.64,13.52,0,0,590.66,8.21,1.35,2.91,17.19,0,0,0.57,0
120,0,0,1.26,0,3.69,116.26,0,0,0,14.54,0,0,2.14,13.01,0,1.67,4.54,0,0,851.28,24.46,0,1.85,25.58,0,0,0,0
