stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.91,2811.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,227.04,3419.72,10.71,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,100.81,21.64,0,0,52.16,0,452.01,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.18,69.23,13.9,0,0,217.96,0,0,0,0,56.36,0,0,0,0,0,0,0,0,1547.24,55.27,0,0,375.54,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,51.73,26.03,0,0,109,0,0,0,0,15.41,0,0,0,0,0,0,0,0,889.26,11.88,0,0,270.75,0,0,12.51,0,17.53,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,28.21,3.63,6.01,0,0,7.05,1.67,0,1.13,0,0,0,0,29.04,0,8.65,148.63,3.75,1.44,0.94,0,0,0,0,15.16,0,1.83,11.13,36.5,0,0,0,0,0
 24-34,0,0,1.24,7.95,0,18.5,0.64,0,5.72,1.08,0,0,2.11,1.91,0,1.21,29.13,0,8.25,259.67,0.67,2.43,2.69,0,0,2.65,0,0.85,3.24,0,2.13,71.72,0,0,8.46,0,1.26
 36-46,0,0,0,2.65,0,28.88,0.69,0,7.03,0,0,0,0,10.04,0,0,31.94,0,4.6,163.04,0.55,0,0.58,0,0,10.65,0,0,0,0,0,37.47,0,0,7.18,0,0
 48-58,0,0,0,6.95,0,37.75,0,0,12.78,0,0,0,0,3.61,0,0.51,29.1,0,0.44,134.71,0.4,0.47,0,0,0,6.32,0,0,0,0,0,26.41,0,0,4.33,0,0
 60-70,0,0,0,1.93,0,39.69,0,18.58,20.16,0,0,0,5.34,0,0,0,19.91,0.86,2.76,99.07,0,0,0,0,0.71,0,0,0,0,0,0,11.44,0,0,5.11,0,0
 72-82,0,0,0,0.63,5.83,22.31,0,1.04,17.92,0.53,0,0,0,2.21,0,0,18.84,0.77,0.91,40.74,0,0,0,0,0,4.52,0,0,0,0,0,5.52,1.01,0,9.8,0.9,8.07
 84-94,0,0,0,0.87,0,14.6,0,0.67,17.56,1.03,0,0,1.28,0,0,1.2,17.01,0,1.09,46.14,0,0,0,0,0,6.53,0,0,0,0,0,2.16,0,0,2.68,0,0
 96-106,0,0,0,1.77,0,25.6,0,0,9.35,0.93,0,0,0.72,0,0.63,1.56,21.66,0,0,17.1,0,0.63,0.96,0,0,2.37,0,0,0,0,0,0,0.67,0,0.83,1,0
108-118,0,0,0,1.57,0.58,11.05,0,0,2.06,0,0,1.03,0.71,0.64,0,0,21.29,2.2,0,23.88,0,0.55,1.63,0,0,4.44,0,0,0,0,0,0,1.29,0.6,3.37,0,0
120,0,0,0,3.67,0,2.99,1.23,5.82,6.63,1.31,0,0,0,1.51,0,0,12.42,0,5.88,40.22,0,0,1.86,0,0,7.1,0,0,0,0,0,0,0,0,7.72,0,0
