stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.95,775.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
  5-6,27.35,179.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.49,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09,0,0,0,12.43,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,22.79,0,0,0,7.44,0,0,0,0,0,0,0,0
 14-21,0,0,5.37,1.03,1.19,0,0,1.75,0,0,0,0,0,0,1.3,0,0,0,0,0,9.5,0,0,1.69,17.9,0,0,0.96,0,0,0,0,10.06,0,0,0,0
 24-34,0,0,1.51,0,2.32,0,0,6.69,0,0.61,0,0,0,0,3.21,0,9.55,0,0,0,2.61,0,0,0.64,399.64,0,0,0.84,0,0,0,0,136.09,0,0,0,0.6
 36-46,0,0,2.63,0,0,0,0,8.9,0,0,0,0,0,0,0,0,7.69,0,0,0,3.63,4.4,0,0,1049.94,0,0,0,0,0,0.87,0.88,209.67,0,0,0,0.61
 48-58,0,0,0.44,0,3.23,0.69,0,132.89,0,0,0,9.17,0.46,0,0,0,2.63,4.44,0,0,29.06,0,0.84,1.39,2682.52,1.03,0,0,0,0,0.5,0,303.51,0,0,0,8.21
 60-70,0,0,2.41,0,3.84,0,0,780.27,0,3.43,0,26.09,1.7,0,0,1.05,12.34,0,0,0,28.98,0,0,0,3936.82,6.71,0,0,0,0,2.84,0,397.77,0,7.9,0,0
 72-82,0,0,0,0,19.1,5.55,0,1510.28,0,0,1.07,54.16,0,0,0.58,1.48,8.39,2.17,0,0,38,0.55,0,1.46,4354.43,0,3.49,0,0,0,0,0.64,288.44,0,6.7,1.69,0
 84-94,0,0,0,0,13.64,5.14,10.69,958.85,0.95,1.21,1.18,71.66,2.18,0,0,0.59,11.7,0.67,0,0,21.2,0,6.34,4.03,2558.75,0,0,3.47,0,0,3.47,0,168.89,1.23,6.1,0,0
 96-106,0,0,1.62,0,15.2,0,0,1126.12,0,1.55,0,37.44,3.07,0,1.61,0.73,12.77,0.76,0.62,0.59,20.06,0,1.06,0,1940.31,0,0,0,0,1.45,5.95,0,61.31,0,10.9,1.88,14.37
108-118,0,0,0,0,22.55,0,0,1300.99,0,0,0,44.78,3.73,0,0,0,22.82,2.48,0,0,16.7,0,0,1.24,2324.68,0,0,0.78,0,0,0.58,0,69.22,0,3.79,0,0
120,0,0,0,0,33.08,4.34,0,1163.83,0,0,3.73,48.55,2,0,0,0,33.47,3.86,0,0,45.87,0,9.54,5.43,3991.83,0,3,0,0,0,0,0,160.68,0,0,0,13.4
