stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,127.07,924.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.41,1655.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.63,0,0,0,54.01,0,13.49,0,0,0,0,0,0,0,0,0
  7-9,22.94,25.78,23.42,0,24.7,0,0,0,0,0,15.92,0,0,0,0,0,0,0,0,0,510.05,38.03,0,0,163.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.85,20.74,0,35.65,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,630.5,12.96,0,0,220.87,0,0,3.03,0,21.68,0,0,0,0,0,0
 14-21,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0.98,11.95,0,0,0,0,0,0,0,4.81,0,4.37,2.23,0,0,0,0
 24-34,0,0,0,4.28,4.62,0,0.62,0.83,2.45,0,0,0,0,0,0.91,1.81,11.7,0,0,0.95,148.45,0,0,0.73,0,0,0,0,0,0,0,32.84,0,18.16,0,0
 36-46,0,0,0,0.57,17.73,0,0,0.61,3.45,0,0,0,0,0,0,0,5.59,0,0,1.45,64.79,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0
 48-58,0,0,0,0,49.34,0,0,0.42,22.24,1.51,0,0,0,0,0,0,14.5,0,0,7.72,102.71,0.55,0,0,0,0,0,0,0,0,0,22.05,0,1.59,0,0
 60-70,0,0,0,0.8,23.33,0,0,0,2.86,0.68,0,0,0,6.34,0,0,7.51,0,0,2.06,24.49,0,0,0,0,1.08,0.59,0,0,0,0,7.62,0,0,0,4.21
 72-82,0,0,0,0,36.52,0.92,0,1.38,8.82,0,0,0,5.79,0,0,0,12.29,0.56,0,0.97,37.1,0,0,0,0,0,3.23,0,0,0,0,5.05,0,0,1.44,1.3
 84-94,0,0,0,0.72,5.58,0,0,0,0.68,0,0,0,0,0,0,0,2.37,0,0,0,23.19,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
 96-106,0,0,0,1.25,12.41,1.64,0,0,7.72,0,0,0.62,0,0,1.93,0,11.2,0,0,2.51,33.17,0,0,0,0,0,3.72,0,0,0,0,2.95,1.97,0,0,0
108-118,0,0,0,0,2.72,0,0,0,13.66,0,0,0,0.63,0.91,0,0,2.27,0,1.65,0.62,9.11,0,1.02,0.57,0,0,0,0,0,0,0,2.33,0,1.55,0,0
120,0,0,0,0,5.97,0,0,0,2.61,0,0,0,0,0,0,0,6.65,0,0,3.01,20.85,0,0,0,0,0,8.7,0,0,0,0,0,0,4.45,0,0
