stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.35,380.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.62,286.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,7.36,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,11.16,0,0,0,0,0,0,0
 10-12,0,10.26,0,4.33,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,261.55,0,0,0,17.45,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,1.25,0.92,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,96.82,0,0,0,0,0,0,0,83.11,0,0,0
 24-34,0,0,0.97,0.59,0,0,0,8.95,0,1.01,0,2.37,0,0,0.6,0.7,0,0,5.8,0.69,4.45,468.97,5.92,0,0.68,0,0,0,0,234.66,0,2.93,0
 36-46,0,0,0,0,0.63,0,0,27.94,3.91,0,3.29,6.14,0,0,0,0,0,0,35.62,0,8.13,955.15,4.66,4.05,0,0,0,6.23,0,281.9,0,1.61,0
 48-58,0,0,0,0,1.71,0,0,79.01,0,0,2.27,46.09,0,0.87,0,0.43,0,0,34.34,0,3.58,1195.82,0.56,1.01,1.91,0,0.53,0,0.92,338.69,1.29,1.22,0.5
 60-70,0,0,0,0,0.81,4.64,0,113.4,0,0,0.64,58.73,0,0.93,0,0,2.72,0,86.58,1.6,0.99,1252.97,3.45,1.43,0,0,0,0,0,315.61,0.57,0,0
 72-82,0,0,0,0,9.79,0,0,126.81,0,0,1.55,78.96,0,0.74,0,0,0.59,0,43.21,2.45,0.71,963.58,3.35,1.25,0,0,0,0,0,128.98,1.37,1.1,0.71
 84-94,0,0,0.66,0,0.69,0.56,0,87.46,0,0,4.87,60.44,0,1.31,0.56,0,0.65,0,34.54,7.23,0,613.97,1.96,0,5.62,0,0,1.1,0,95.03,1.78,6.52,0.63
 96-106,0,0,0,0,5.91,5.24,0,77.71,0.78,0,0.97,40.3,3.05,0,0,0.74,0,21.68,38.82,0.7,1.08,431.17,2.8,1.18,2.74,0,0,3.89,0,44.46,0,4,0
108-118,0,0,0,0,4.09,0,1.73,50.53,0,0.7,2.69,70.43,1.14,1.28,0.41,0,0,0,37.02,4.34,1.03,485.72,8.76,0,7.84,0,0,0.88,0,45.21,1.18,0.95,0.5
120,0,0,0,0,1.09,0,0,89.79,0,0,0,52.62,0,0,0,3.86,2.89,0,49.79,0,10.83,664.67,21.03,0,0,0,0,0,0,59.58,0,0,0
