stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,49.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0
  7-9,4.23,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,88.32,5.73,0,23.37,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,64.99,4.38,0,12.93,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,10.3,0,0,0,2.2,3.79,0,0,0
 24-34,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,3.25,0,0,0,25.8,0,0,0,0,5.71,0,0,5.52
 36-46,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.87,0,0,0,0,7.55,0,0,0
 48-58,0,0,0,1.89,0,0,23.82,0,0,0,1.28,0,0,0,0,0,0.49,0,0,0.53,180.42,0,0,0,0,1.78,0,0,1.61
 60-70,0,0,0,1.63,0,0,76.57,0,0,0,0,0,0,2.84,0,0,1.5,0,0.76,0,252.71,0,0,0,1.78,10.54,0,0,0
 72-82,0,0,0,0,0,0,100.62,0,0,0,2.68,0.67,0,0,0,0,8.26,0,0,0,503.37,0,0,0,4.5,12.39,0.52,0,8.82
 84-94,0,0,0,1.12,0,1.39,55.64,7.04,0,5.25,4.8,0,0,0,0.67,1.37,0.73,3.24,4.46,1.51,341.49,0,2.8,0,0,11.64,0.61,1.23,0
 96-106,0,0,0,0.83,0.99,0,82.14,0,0,0,1.49,0,0,0,0,0,3.71,0,0,1.54,356.44,0,0,0,3.15,1.03,0,0,0
108-118,0,0,0,2.67,1.55,0.73,34.08,0,0,0,1.73,0.42,0,0,0,0,1.18,0,0,0.94,428.63,0,0,0,0.43,1.2,0,0,0
120,0,0,0,14.56,0,0,117.09,0,4.94,0,9.48,1.31,4.22,0,0,0,8.93,0,0,5.65,670.48,0,0,0,1.42,0,12.05,0,0
