stage,endocrine.pancreas,eye,glial,hatching.gland,immune,lateral.line,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  7-9,0,0,0,7.6,0,0,0,0,7.34,0,7.52,0,0
 10-12,0,0,0,19.07,0,0,0,0,0,0,0,0,0
 24-34,0,1.7,0,0,0,0,0,0,11.68,0,0,2.19,0
 36-46,0,0,0,0,0,0,0,0,18.62,0,0,0,0
 48-58,0,2.67,1.48,0,0,0,0,0,24.61,0.81,0,2.66,0
 60-70,0,0,0,0,0,0,0,0,10.8,0,0,4.61,0
 72-82,0,4.34,0,0,0,2.78,0,0,20.68,0,0,0,1.3
 84-94,0,2.35,0,0,0,0,0,0,5.92,0,0,0,0
 96-106,0,8.59,0,0,0,0,4.34,0.9,6.65,0,0,4.63,0
108-118,1.13,1.23,1.97,0,0.44,0,0,2.78,9.76,0,0,0.87,0
120,0,16.26,0,0,3.86,0,0,0,19.22,0,0,0,0
