stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,299.97,4423.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.09,0,0,0,0,0,0,0,0,0,0
  5-6,444.91,4239.48,0,9.08,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,162.73,7.03,0,0,53.19,0,92.02,0,0,0,0,0,0,0,0,0,0
  7-9,145.63,179.06,0,240.57,0,0,470.67,0,0,0,0,264.6,0,0,0,0,0,0,0,0,0,0,0,4690.27,114.64,0,0,1513.35,0,0,20.99,0,0,0,0,0,0,0,0,0
 10-12,3.8,138.72,0,326.73,0,52.43,311.45,0,0,0,0,75.14,0,0,0,0,0,0,0,0,0,0,0,3900.87,72.55,0,0,1255.4,0,11.62,22.44,17.2,165.38,0,0,0,0,0,0,0
 14-21,0,0,1.05,9.95,155.97,46.87,102.09,0,0,21.44,3.56,13.08,1.46,2.27,12.35,0,0,0,0.86,63.37,1.1,0,48.26,1270.14,26.58,6.78,7.74,31.47,0,33.43,0,152.3,9.94,6.2,116.56,325.03,0,9.51,0,2.75
 24-34,0,0,0,3.05,41.25,16.68,361.33,0,0,48.7,1.88,0,1.13,3.36,9.29,0,0.72,4.25,0,192.36,2.22,1.39,45.41,2590.48,7.07,17.12,15.23,0,0,29.9,0,0,0.64,0.95,6.64,505.08,0,28.97,0,16.67
 36-46,0,0,0,0,60.44,7.55,1202.79,3.05,1.49,54.11,0,0,0.79,4.48,1.79,3.61,0.65,4.61,6.55,171.69,0.58,4.33,53.94,2357.07,24.37,8.36,6.93,0,0,41.12,0,1.63,4.86,0,0,463.83,0,16.69,0,3.93
 48-58,0,0,0,0,23.84,5.83,1118.65,6.44,1.26,43.94,4.37,0,0.71,10.4,4.86,4.02,1.15,2.68,0,165.48,0,4.46,31.38,1085.86,1.89,0.97,11.14,0,0,37.49,0,0,2.52,1,0,130.68,0,12,0,5.93
 60-70,0,0,0,0,47.72,4.64,896.49,13.66,0,44.32,2.83,0,0,8.01,0,0,5.12,0.87,0,169.47,2.84,10.01,12.34,696.98,0,3.26,8.76,0,0,8.8,0,0,0,0,0,27.46,0,9.22,2.92,4.34
 72-82,0,0,0,0,12.44,1.48,242.66,0,1.69,34.02,5.41,0,3.03,4.89,2.09,1.96,1.22,0,0,81.3,0.57,13.01,17.53,214.9,1.8,1.09,1.48,0,3.71,1.28,0,0,1.87,0,0,3.4,0,3.89,1.61,0
 84-94,0,0,0,0,13.03,4.16,246.57,0,0.67,28.12,10.08,0,0,7.94,7.3,0.76,0.81,0,0,109.53,0,9.76,18.45,230.99,2.49,2.58,5.71,0,0,3.72,0,0,1.13,0,0,11.83,0.69,14.89,0,0
 96-106,0,0,0,0,8.03,2.24,118.31,0.63,0,18.65,4.01,0,0,2.73,0.87,1.85,0,0.99,0,43.42,0,0.68,4.45,138.16,1.02,1.49,0.63,0,0,6.86,0,0,0,0,0,0,0,0,1.44,0
108-118,0,0,0,0,9.09,3.35,119.64,0.45,0,24.52,3.13,0,0,9.13,0.44,0,1.75,2.05,0,36.53,0,2.97,6.48,202.02,0.61,0,6.06,0,1.53,1.35,0,0,0,0.86,0,2,0.51,9.52,0,0
120,0,0,0,0,10.53,8.26,337.63,0,5.48,42.99,0,0,0,14.18,18,11.11,0,3.69,0,66.2,0,0,9.16,537.43,2.45,6.54,6.57,0,0,5,0,0,0,0,0,0,0,3.09,0,0
