stage,blastomeres,endoderm,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord
  3-4,26.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.83,0,0,0,0,0,0,37.84,12.23,10.39,0,0,0,0,0
 10-12,0,0,0,9.32,0,0,0,0,0,0,22.33,0,12.04,0,0,0,0,0
 14-21,0,1.1,2.17,0,0,0,0,0,1.02,0,2.54,0,0.92,1.42,3.44,0.83,0.99,7.27
 24-34,0,0,0.86,0,0,0.94,0,0,4.64,0.99,1.15,0,0,2.5,0,0,0,0.65
 36-46,0,0,0,0,0,0,0,0,2.63,3.99,0,0,0,10.77,0,0,0,1.63
 48-58,0,0,0,2.39,0,0,0,0,0,0,0,0,0,6.51,0,0,0,0.46
 60-70,0,0,0,0,0,0,0.96,0,0,0,5.31,0,0,3.01,0,0,0,0
 72-82,0,0,0,6.36,0,0,0,0,1.34,0,0,0,0,2.84,0,0,0,0
 84-94,0,0,0,0,0.69,0,0,0,0.62,0,0.97,0,0,4.89,0,0,0,0
 96-106,0,0,1.32,0,0.83,0,0,0,0.62,0,9.91,0,0,4.53,0,0,0,0
108-118,0,0,1.53,0,0,1.12,0,1.69,0,0,0,0,0,9.36,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,6.13,0,0,2.69,0,0,0,0
