stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,51.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0,0
  7-9,0,0,0,9.11,0,0,0,0,3.76,0,0,0,0,0,16.97,0,22.84,0,0,0,0,0,0,0
 10-12,7.25,0,0,4.49,0,0,0,0,0,0,0,0,0,0,31.92,0,12.1,0,0,0,0,0,0,0
 14-21,0,1.56,0,0,0,0,0,0,0,0,0,0,0,1.27,18.6,0,0,0,1.04,0,1.03,1.86,0,0
 24-34,0,0,0.83,0,0,0,0,0,0,0,0,2.71,0,0,41.74,0,0,0,0,0,0.59,2.22,0,0.89
 36-46,0,0,3.4,0,0,0,0,0.95,0,0,0,2.88,0,0,50.78,0,0,0,0,0,0,1.99,0,4.4
 48-58,0,0,0.92,5.74,0,0,0.73,0,0,0,0,0.98,0,0,70.38,0,0,0,0,0,0,0,0,9.18
 60-70,0,0,2.04,9.03,0,2.07,0,0,0,0,0,4.14,0.63,0,153.13,0,0,9.17,0,0,0,1.37,0,16.46
 72-82,0,0,0,3.27,0,0,2.53,0,0,0,3.32,4.7,0.75,0,214.01,0,0,0,0,0,0,0,0,2.83
 84-94,0,0,1.22,7.34,1.27,0,3.99,0,0,0.6,0,0,0,0,191.71,0,0,0,0,0,0,0,0,4.11
 96-106,0,0,0,9.33,0,0,1.52,0,0,0,2.23,1.08,0,0,181.03,0,0,1.44,0,0,0,0,0,5.9
108-118,0,0,2.01,12.77,0,0.59,8,0,0,0,2.22,0.81,0,0,163.43,1.47,0,0,0,1.86,0,0,0.89,7.26
120,0,0,0,26.94,0,0,25.12,0,0,0,0,0,0,0,350.13,0,0,1.64,0,0,0,21.17,0,20.43
