stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,50.21,368.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,151.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,0,0,0,0,0,0,0
  7-9,12.19,11.08,3.38,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,91.49,0,0,0,44.26,0,0,0,0,0,0
 10-12,0,3.56,0,0,6.65,26.36,0,0,0,0,0,0,0,0,0,0,0,0,173.37,6.68,0,0,33.88,0,0,0,0,0,0
 14-21,0,0,0,5.41,0.82,2.85,0,2.54,0,0,0,0,0,0,3.89,0,0,0,23.17,0,0,0,0,2.81,4.4,3.76,11.8,0,0
 24-34,0,0,0,3.62,0,7.84,0,0,1.02,0,0,2.16,0,1.29,4.53,0,0,2.17,59.22,0,0,0,0,0,0,0,1.78,0,0
 36-46,0,0,0,0,0.57,4.61,1.75,0.71,0,0,0,0,0,0,3.04,0,0,1.42,39.12,0.55,0,0.66,0,6.76,0,0,3.66,0,0
 48-58,0,0,0,0.44,0,11.45,0,0,0,0,0,0,0,0,2.09,0,0.52,0,27.48,0,0,0,0,0,0,0,2.33,0.47,0.6
 60-70,0,0,0,7.03,0,11.31,0,2.78,0,0,0,6.42,2.89,0,3.61,0,0,1.39,29.65,0,0,0,0,1.86,0,0,3.51,0,3.58
 72-82,0,0,0,0.76,0,24.2,0,1.44,0,0,0,0,0,0,5.23,0,0,0.57,11.73,0,0,0,0,3.54,0,0,1.08,0,0
 84-94,0,0,0,0,0,5.67,0.74,0,0,0,0,0,0,0,4.95,0,2.5,0,7.45,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.65,0,0,0,0,0.56,0,0,0,14.81,0,0,0.82,12.88,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.44,0,0.76,0,0.74,0,0,0,0,0,1.15,0,0.62,3.45,0,0.46,0,0,1.31,0,0,0,0,0
120,0,0,0,1.87,0,19.5,0,12.33,0,0,0,0,0,0,4.09,0,0,0,45.93,0,0,0,0,0,0,0,0,0,0
