stage,erythrocytes,eye,fin.mesenchyme,glial,immune,muscle,neural,slow.muscle
 14-21,0,0,0,0,0,0,1.58,0
 24-34,0,0,0,0,0,1.54,0,1.74
 72-82,0,27.07,0.62,0,0,0,0,0
 84-94,1.15,8.34,0.58,0,0,0,1.14,0
 96-106,0,6.59,0,1.29,1.28,0,1.34,0
108-118,0,18.93,0,0,0,0,0,0
