stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,0,0,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.68,0,25.88,0,0,0,5.57,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,225.4,13.54,0,0,160.77,0,0,0,0,20.07,0,0,0,0,0,0,0,0
 14-21,0,1.13,5.52,54.58,660.34,0,9.28,0,0,0,80.52,0,0,17.07,0,0,0,0,37.85,99.51,0,0,36.8,411.53,9.55,1.57,25.74,8.02,0,0,0.9,17.48,170.8,44.51,364.59,245.16,0,0,2.77,0,0
 24-34,0,2.1,0,19.81,175.19,0,38.11,0,4.33,0,77.52,0,0,71.67,0,0.64,0,0,34.29,60.02,0,0,15.19,665.06,7.77,12.28,18.44,0,0,2.16,0,0,46.82,4.11,77.56,348.4,0,0,8.4,0,0
 36-46,0,0,0,11.6,3.92,0,44.09,0,0,0,72.75,0,0,38.64,0,0,0,0,10.95,53.7,2.26,2.2,12.19,910.01,0,9.14,16.01,0,0,0.61,0,0,23.43,1.59,1.43,273.38,0,0,3.41,0,0
 48-58,0,0,0,21.27,9.32,0,105.25,1.53,0,1.12,77.49,0,0,21.97,0,0.5,0.4,0,0,45.73,0,1.16,11.46,877.49,0,12.17,26.82,0,0,0.55,0,0,5.26,0.89,0,180.83,0,0,0.45,0,0.69
 60-70,0,0,0,16.16,10.75,0,304.27,3.75,3.8,0.68,44.25,0,0,4.76,0,0,5.47,0,0,44.88,0,2.32,7.12,902.3,0,12.93,31.56,0,1.13,6.5,0,0,10.14,3.16,0,92.81,0,5.34,0,0,0
 72-82,0,3.06,0,11.79,95.29,0,715,0.76,0,2.4,49.42,0,0,0,1.08,0,2.51,2.63,2.18,91.17,0,0,3.65,910.6,0,8.34,49.13,0,3.5,0,0,0,5.43,0,0,67.69,0,11.3,4.19,0,8
 84-94,0,0,2.05,16.53,46.58,0,656.76,0.56,0.56,0,50.2,1.51,0,7.12,0,0,9.55,0.58,0,69.46,0,1.13,5.64,660.75,0,18.27,14.01,0,6.44,0.77,0,0,14.44,3.15,0,48.74,0,7.1,4.93,0.74,0
 96-106,0,6.66,0,19.55,177.88,1.07,700.61,0.94,0.57,0,64.34,1.38,0,0,0,0,4.98,0,7.3,86.83,0,0.65,5.9,453.68,0.79,14.91,55.2,0,0,11.35,0,0,8.96,1.34,0,32.68,0,7.17,0,4.84,0
108-118,0,1.45,0,22.31,114.4,0,905.53,0.65,0.43,1.19,46.95,1.62,0,0,0,0,11.9,3.21,4,70.96,0,1.79,3.54,965.19,0,14.31,37.85,0,2.1,0.46,0,0,15.7,0,0,46.84,1.98,5.11,0.56,5.03,0
120,0,0,0,20.92,90.78,0,355.04,1.01,0,0,20.4,0,0,0,0,0,5.97,0,5.29,90.92,0,5.22,0,975.76,0,2,18.43,0,0,4.42,0,0,9.72,0,0,82.96,1.81,4.65,0,11.01,0
