stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0.88,10.24,2.09,0,1.24,1.07,0,70.77,1.07,0,0,0,0,0,0,3.3,0,3.61,1445.45,7.27,0,1.55,0,0,1.76,542.84,0,0,0
 24-34,0,3.99,0,0,15.08,1.37,0,78.8,0,0,0.62,0,0,0,4.82,7.59,0,3.21,4571.27,0,0,19.49,2.9,0,1.41,1085.11,0,7.2,0
 36-46,0,0,0,0,11.36,0,0,69.58,0,0.62,0,0,0,0,0,4.62,0,0,1945.35,0,1.35,9.11,0,1.69,0,861.53,0,5.24,0
 48-58,0,0,0,0,25.46,0,0,143.76,0,0,0,0,0,0,0,2.17,0,1.53,680.08,5.13,0,0.88,0,0,0,444.58,0,0,1.82
 60-70,0,0,0,0,16.29,0,0.62,198.48,0,0,0,0,0,5.16,0,0,0,0,458.4,0,0,0,0,0,0,207.91,0,0,0
 72-82,0,4.04,0.59,0,39.09,0,0,262.3,0,0,0,0,0,0,0,4.08,0.55,0,334.47,0,0,0,0,0,0,121.14,1.21,0.71,0
 84-94,0,1.53,0,0,38.02,0,0,211.27,0,0,0,0.58,0,0,0,10.97,0,1.16,327.81,0,0,0.96,0,0,0,109.33,0,0,0
 96-106,0,10.65,0,0,27.02,3.41,0,268.07,0,0,0,0,1,0.7,0,0,0,0,252.45,0,0,0,0,0,0,34.4,0,0,0
108-118,0,1.37,0,2.84,14.7,0,0,516.64,0.52,0,2.71,7.22,0,0,0,8.24,0,0,330.39,0,0,1.14,0,0,0,51.48,0,1.07,0
120,0,1.41,0,1.91,13.32,0,0,343.35,3.16,0,0,0,0,0,0,14.04,0,4.95,411.96,0,0,1.39,0,0,0,60.92,0,0,0
