stage,erythrocytes,eye,immune,mesenchyme,neural,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,6.75,0,16.69,0,0,0,0,0
 24-34,0.66,0.87,15.68,0,0.71,0,0,0
 36-46,0,0,6.96,0,0,0,0,0
 48-58,0,1.62,36.19,0.4,0,0,0,0
 60-70,0,0,14.31,0,0,2.33,0,0
 72-82,0,0,22.01,0,0,0,0,0
 84-94,0,0.58,29.18,0,0,0,0,0
 96-106,0,0,39.28,0,0,0,1.82,0.6
108-118,0,0,42.72,0,1.46,0,0,0
120,0,0,21.47,0,0,0,0,0
