stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,66.9,2149.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.33,0,0,0,0,0,0,0,0
  5-6,601.93,7223.33,0,37.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.89,0,0,0,62.33,249.02,0,0,0,0,0,0,0,0
  7-9,249.19,57.2,0,301.06,0,0,0,80.54,0,0,124.6,0,0,0,0,0,0,0,0,0,2595.67,183.29,0,0,1256.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,53.7,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,246.81,10.72,0,0,152.82,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.84,6.81,0,0,0.81,0,1.21,0,0,0,0,0,0,0,0,0,0,21.22,0,0,0,0,0,5.8,0,1.46,6.96,12.45,0,0,0
 24-34,0,0,0.67,0,0,0,0,7.39,0,1.34,0,0,0,0.72,0,0,0,2.04,0,2.06,41.16,0.65,0,0.65,0,1.22,0,0,0,0,15.12,0,0.64,0
 36-46,0,0,0,0,2.21,0,0,7.81,0,2.57,0,0,0,0,0,0,0,7.97,0,2.69,46.04,0,1.29,0,0,0,0,0,0,0,4.96,0,0,0
 48-58,0,0,0,0,0,0,0,14.64,0,2.47,0,0,0,0,0,0,0.56,9.7,0,1.65,46.08,0,0,0,0,0.47,0,0,0,0,9.08,0,4.95,0
 60-70,0,0,0,0,1.37,0.58,0,18.08,1.37,1.53,0,0,0,0,0,0.88,0,9.21,0.63,3.69,39.07,1.87,0,0,0,3.96,0,0,0,0,3.09,0,2.16,0
 72-82,0,0,0,0,0.67,0,0,18.16,0,5.35,0,0,0,0,0,0.72,0,20.41,0,0,52.99,0,1.2,1.27,0,3.68,0,0,0,0,2.31,0,9.67,0
 84-94,0,0,0,0,0,1.82,0,11.09,0,5.2,0,0,2.88,0,0,0,0,5.06,0,0,55.97,0,0,0,0,0,0,0,0,0,7.18,0.57,0,0
 96-106,0,0,0,0,2.06,0,0,14.11,0,10,0,0.76,2.41,0,1.8,0,0,11.04,0,2.8,23.09,0,0,0,0,2.94,0,0,0,0,0,0,1.39,0
108-118,0,0,0,0,1.5,0,0.82,8.5,0,5.72,0,0,1.49,0,0,0,0,12.06,0,1.56,17.88,0,0,0,0,0,0,0.52,0,0,0,0,1.37,0.88
120,0,0,0,0,4.85,0,0,11.09,0,0,0,0,1.88,0,0,0,0,10.38,0,0,16.03,0,0,0,0,0,0,0,0,0,0,0,1.25,0
