stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.02,36.71,6.48,0,17.57,0,0,0,1.06,1.2,0,0,0,0.97,0,0,0,2.33,17.7,0,0,8.12,70.21,17.11,3.22,0,2.57,6.06,1.44,9.26,0,0,15.86,27.08,0,0,3.96,0,0
 24-34,1.71,0.81,11.4,0,0,32.09,0,4.81,0,6.43,0,2.87,0.69,0,1.54,0,2.33,0,16.8,18.16,1.48,0,8.32,157.64,4.28,10.37,0,0,17.54,0,0.93,0.6,0,4.88,53.27,0,0,18.71,0,29.03
 36-46,0,0,20.98,0.81,0,41.27,0,14.66,0,11.79,0.74,0,0.63,0,0,10.32,1.45,0,27.95,10.55,1.64,0,11.28,366.85,1.49,2.08,1.35,0,25.52,0,0,3.66,0,0,69.99,0,0.85,7.69,0,29.12
 48-58,0,0,7.51,5.2,0,94.16,3.73,3.45,0.41,33.28,0,0.48,0.96,0.42,0.39,10.24,0.51,0,17,24.44,2.7,3.39,3.79,406.73,0,3.21,3.46,0,45.57,0,0,0,0,0,93.89,0,0,7.49,0,27.04
 60-70,0.7,0,5.64,0.62,0,198.44,0,0.65,0,40.47,1.75,0.97,0,2.62,0.59,22.32,0,2.6,3.48,43.32,2.18,0.95,10.64,364.4,0.64,1.67,0,0,20.26,0,0,0,3.27,0,56.21,0,0,19.4,9.29,24.74
 72-82,0.64,0,6.37,0.96,0,184.66,0,1.18,6.52,37.65,0.77,1.15,1.02,2.87,2.86,14.9,0,0,0,71.17,1.68,2.83,4.21,356.95,0,3.22,1.6,0,13.83,0,0,0.66,0,0,54.74,0,0.75,13.17,1.43,8.18
 84-94,0,0,15.68,16.83,0,143.01,0,3.46,5.23,22.83,4.9,0.99,0.78,5.59,3.13,15.21,0.78,0,3.26,43.86,0.62,0,5.59,216.1,1.8,6.02,3.88,0,29.66,0,0,0.67,0,0,16.58,1.03,0.57,9.73,0,2.87
 96-106,0,0,20.27,26.23,0,126.25,0.71,2.78,2.64,31.9,3.96,0,0,9.77,2.83,18.34,1.31,3.7,0.65,41.32,13.23,0.84,2.32,208.9,0,1.96,4.26,0,27.4,0,0,0,0.6,0,2.92,1.02,0,3.28,0.96,8.41
108-118,0.61,0,23.57,14.36,0.58,135.02,1.97,8.15,6.4,29.11,6.46,0,0,12.39,2.31,24.73,1.22,1.1,5.87,25.86,3.05,1.48,3.06,257.73,0.89,5.66,4.57,0,35.08,0,0,1.36,0,0,5.75,1.69,1.3,13.58,0,16.92
120,0,0,16.72,11.75,2.02,81.03,0,3.49,1.83,34.57,16.17,0,5.85,10.29,3.89,11.55,0,0,0,32.22,1.49,4.04,2.74,305.9,0,9.05,2.34,0,16.86,0,0,1.02,0,0,0,5.02,0,10.5,0,0
