stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.1,19.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.76,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,5.91,0,0,0,86.44,0,0,0,0,0,0,0,0,0,0,77.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.91,0,0,0,0,0,14.27,0,0,0,242.19,0,0,0,0,0,0,0,0,0,0,254.41,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,309.89,0,0,0.88,0,0,0,0,0,0,0,0,0,0,10.93,0.86,0,1.52,64,0,0,0,0,1.63,0.91,0,0,0.85,19.55,0,0,0,0,0
 24-34,0,0,0,0,733,2.61,0,142.68,1.49,0,81.7,0,0,2.88,0,0,0,0,6.75,5.86,0,55.38,510.38,0,0.75,0,0,0.73,0,0.63,1.57,0,74.92,0,0,0.85,0,0
 36-46,0,0,0,0,70.45,0,0,576.46,2.52,0,359.4,0,0,14.34,0,0,0,1.38,5.47,0,0,0.72,1167.86,0,0,0,0,3.58,0,0,0,0,55.27,0,0,0,0,0
 48-58,0,0,0,0,7.91,9.04,0,908.14,1.68,0.74,382.18,0,0,28.42,0,0,0,0,4.43,0,0,0,1582.71,0,0,0,0,0,0,0,0,0,83.36,0,0,0,0,0
 60-70,0,0,0.63,0,0,0,0,259.94,7.35,0,297.49,0,0,39.06,0,1.52,0,0,31.68,0,0,1.67,1486.69,2.62,0,0,0,2.56,0,0,0,0,90.49,0,0,0,0,5.3
 72-82,0,0,0.69,0,2.27,9.75,0,541.43,12.57,4.1,669.95,0,0.87,27,0,0,0,0,27.66,0,0,0,1274.47,0,0.71,0,0,0,0,0,0,0,68.82,0,1.04,0,10.79,0
 84-94,0,0,0,0,22.96,0.71,0,862.72,1.29,0,431.47,0,0,49,0,0,0,0,54.96,0,0,0,820.16,0,0,1.43,0,1.5,32.23,0,0,0,81.36,0,0,0,0,0.88
 96-106,0,0,4.16,0,33.92,1.53,2.42,819.79,13.75,1.46,667.6,0,0,154.87,1.04,0,1.12,0,19.8,3.89,0,0,451.06,0.57,2.57,0.76,0,3.39,0,0,0,0,72.07,1.88,0,4.45,2.27,0
108-118,0,0,0,0.49,29.08,0,0,862.46,2.2,0,537.91,0,0,114.19,1.16,0,1.1,0,81.33,10.9,0,2.64,216.59,0.45,0,0.6,0,0.41,0,0,0,0,105.5,0,0,0.87,2.97,0
120,0,0,0,0,91.18,2.61,0,1009.69,43.11,0,581.36,0,0,544.62,0,15.2,0,0,33.72,0,19.96,0,509.59,0,0,2.86,0,7.72,0,0,0,0,99.97,0,0,0,0,0
