stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.43,333.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.67,457.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.67,0,0,0,0,0,19.78,0,0,0,0,0,0,0,0,0,0
  7-9,21.48,28.87,0,14.25,0,0,21.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565.23,245.91,0,0,469.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.73,0,142,0,0,37.62,0,0,0,0,0,19.99,0,0,0,0,0,0,0,0,0,674.67,183.47,0,0,750.7,0,0,0,18.53,0,18.07,3.28,0,0,0,0,0
 14-21,0.89,0,0,27,146.4,18.55,12.66,0,2.12,0,44.94,42.07,2.24,0,0,0,0,0,1.05,60.79,0,49.73,228.81,86.85,0,0.97,69.08,0,0,579.39,0.81,76.57,615.15,442.91,0,0,0,0,0
 24-34,0,0,3.28,11.07,32.12,1.38,12.12,0.79,0,1.58,45.08,10.32,0,0,0,0,0,7.9,0.69,92.72,0,72.22,335.19,65.24,2.39,4.6,0,0,1.76,0,0,3.57,131.58,411.16,0,0,5.47,0,0
 36-46,0,0,1.35,0.58,15.08,0,12.64,7.67,0,2.93,39.98,0.61,0,0,0,0,0,2.12,0,81.12,0.63,24.56,478.15,31.84,5.64,0,0,0,0,0,0.62,1.04,2.5,250.21,0,0,3.83,0,1.9
 48-58,0,0,1.02,0,9.06,0,75.36,1.6,0,3.02,90.07,0,0,0,0,0,0.51,1.76,3.82,51.88,1.77,17.68,506.85,5.4,0,2.17,0,0,0.58,0,7.41,0.47,0,154.24,0,0,0,0,0
 60-70,0,0,0,0,9.47,0,437.55,3.47,0,3.04,174.13,0.64,0,0,0,0,0,0,1.64,25.92,1.71,1.97,751.03,0,1.31,5.38,0,1.55,0,0,0,0,0,114.28,0,0,0,0,0
 72-82,0,0,2.69,0,14.73,0,726.46,5.48,0,0,205.33,7.58,0.52,0,1.56,0.93,0.56,2.82,0,32.21,1.27,5.98,873.73,0,1.9,11.47,0,0,2.98,0,0,0,0,53.58,4.34,0.52,1.89,0.5,17.41
 84-94,0,0,0,0,11.11,2.12,613.59,9.15,0,0.94,156.75,3.41,0,0.7,0,0,1.5,6.05,0,53.38,3.73,9.3,718.63,0.62,0,14.75,0,0,3.41,0,2.05,0,0,28.38,13.18,1.78,0,2.71,0
 96-106,0,0,0,0,9.75,9.87,507.93,23.31,1.26,1.45,146.78,6.73,0,0.77,0,0,1.11,2.87,0,33.32,0,4.99,733.77,0,3.08,9.16,0,0,3.82,0,1.33,0.65,0,22.38,25.74,0,1.4,2.82,0
108-118,0,0,4.02,0,9.21,1.36,576.52,9.36,2.63,1.79,183.91,7.65,0,5.88,0.49,6,0,1.74,0.47,27.27,7.68,3.28,811.02,0,1.39,23.5,0,5.09,1.35,0,2.22,2.67,0,33.17,22.59,0,2.41,2.62,3.88
120,0,0,0,0,5.65,0,727.11,9.26,4.94,34.55,462.88,9.93,0,0,0,0,1.74,1.01,0,14.92,0,3.65,1341.4,0,3,5.53,0,17.39,4.14,1.12,3.56,0,0,53.08,8.55,0,8.11,0,14.33
