stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,37.71,1058.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78,0,0,0,0,0
  5-6,94.42,1139.45,0,0,0,0,0,0,0,0,24.34,0,0,0,47.53,0,0,21.16,6.16,0,0,0,0,0
  7-9,14.37,28.28,16.02,0,0,47.17,0,0,0,0,26.19,0,0,0,447.2,16.61,0,188.27,0,0,0,0,0,0
 10-12,0,12.61,31.94,0,11.1,31.29,0,0,0,0,0,0,0,0,585.91,6.54,0,170.75,0,20.08,0,0,0,0
 14-21,0,0,0,3.49,0,1.67,0,0,0,0,0,0,0,2.01,11.41,0,2.13,0,0,0,0.87,3.02,0,0
 24-34,0,0,0,4.26,0,4.06,0,0,2.19,0,0,0,7.7,1.91,50.88,0,0,0,0,2.43,0,11.56,0,0
 36-46,0,0,0,0,0,7.89,0,1.06,1.02,0,0,0,2.26,1.66,25.2,0,0,0,12.47,0,0,3.08,0,0
 48-58,0,0,0,0,0,11.61,0,0,2.23,0,0,0,7.98,0.39,19.33,0,0,0,0,0,0,16.76,0.38,0
 60-70,0,0,0,0,0,6.9,0,0,0.65,5.38,0,0,8.13,0.58,21.2,0,0,0,0,0,0,0,0.71,0
 72-82,0,0,0,0,0,1.07,0,0,1.02,0.7,0,0,0.76,1.54,5.55,0,0,0,0,0,0,0,0,0.55
 84-94,0,0,0,0,0,2.52,0,0,0.68,0,0,0,0.8,0,17.36,0,0,0,2,0,0,0,0.8,0
 96-106,0,0,0,0,0,0,0,0,2.53,0,0,0.86,3.31,0,12.4,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.68,1.02,0,1.37,0,0,0,0.59,0.43,7.98,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,13.83,0,0,1.14,0,0,0,1.04,2.83,15.37,1.1,0,0,0,0,0,0,0,0
