stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93,0,0,0,14.29,0,0,0,0,0,0
 14-21,0,0,1.07,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,0,1.55,1.78,0.82,0,0,0,0,32.35,0
 24-34,0,0,0,0,0.84,0,0,1.89,0,0,1.73,0,0,0,0,0,1.47,0,0.98,117.28,1.05,0,0,0,0,0,0,0,21.91,0
 36-46,0,0,0,0,12.8,0.76,0,3.63,0,0,1.06,0,10.34,0,0,0,1.65,0,0,216.78,0,0,0,0,0,0,0,0,19.42,10.56
 48-58,0,0,0,0,2.88,0,0,14.97,1.1,0,4.51,0,0.6,0,0,0,5.93,0.76,0.41,438.43,0,0.56,0.59,0,0,0,0,0,37.5,0
 60-70,0,0,0,0,1.02,0,0,18.88,0,9.66,2.53,0,0,0,0,0,4.82,0,1.31,592.4,0,3.2,0,0,0,0,0,3.75,13.25,0.68
 72-82,0,0,0,0,4.66,0,0,46.54,0,0.66,24.36,2.25,0,0,0,3.96,8.15,0,3.49,1094.49,0,1.69,0,0,0,0,0,0,21.97,9.44
 84-94,0,0,0,0,4.11,0,0,27.9,0,1.21,14.72,1.36,0,1.42,0.73,0,10.12,0,0,424.6,3.01,0,0,0,0,1.51,0,0,14.5,2.48
 96-106,0,0,0,0,0.72,9.89,0,21.24,0.57,0,19.88,0,0,0,0,0,11.5,0,7.38,611.45,0,4.57,0,0,0,0.96,1.35,0,13.07,2.71
108-118,0,0,0,0,5.3,0,0,37.16,4.54,0,41.14,0,0,0,0,0,4.88,0,0,748.41,0,1.36,1.37,0,1.89,0.99,0,0,8.66,2.78
120,0,0,0,0,2.55,0,1.14,23.38,3.1,0,67.84,0,0,6.17,0,0,2.22,0,1.64,1178.08,0,10.83,0,0,0,0,0,0,36.45,14.9
