stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,244.35,1740.57,0,0,0,0,0,0,0,0,0,0,0,0,54.58,0,0,0,0
  5-6,400.12,7778.18,123.29,0,0,0,0,53.53,0,0,2340.68,18.2,0,503.14,177.16,0,0,0,0
  7-9,120.01,423.94,2892.74,0,0,41.01,0,67.74,0,0,7854.8,139.96,0,6639.9,15.95,20.93,75.19,0,0
 10-12,0,224.75,709.84,0,64.94,8.84,0,9.79,0,0,2350.16,12.37,0,856.52,0,11.92,719.09,0,0
 14-21,0,0,0,1.99,8.83,0,0,0,1.69,2.42,11.91,0,0,1.98,1.62,0,0,0.86,16.8
 24-34,0,0,0,0.59,1.58,0,0,0,10.37,0,14.51,0,1.47,0,0,0,0,0,11.8
 36-46,0,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,17.71
 48-58,0,0,0,0,1.63,1.02,0,0,0.47,0,38.87,0,0,0,0,0,0,0,5.5
 60-70,0,0,0,0,0,1.24,0.94,0,0,0,24.35,0,0,0,0,0,0,0,1.27
 72-82,0,0,0,0,6.59,8.02,0,0,0,0,23.53,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.56,3.68,6.32,0,1.53,0,18.23,0,0,0,0,0,0,0,13.9
 96-106,0,0,0,0,0,2.68,0,0,0,0,16.77,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,11.68,0.77,0,0,0,11.57,0,0,0,0,0,0,0,1.97
120,0,0,0,0,0,0,3.99,0,0,0,29.64,0,0,0,0,0,0,0,3.5
