stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,15.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1446.48,2.67,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,1.32,0,1.26,7.82,6.64,0,0,0
 24-34,0,0.79,2912.81,5.95,0,0,0,0,0,0,1.87,0.68,0,0,0,0,7.85,0,4.15,124.43,0,0,0,0,8.18,0,0,0,2.08,18.06,10.91,0,0
 36-46,0,0,1491.74,5.5,0,0,0,0,0,0,12.08,0,0,0,0,0,2.09,0,4.66,50.4,0,0,0,0,1.83,0,0,0,0,9.66,3.19,0,0.64
 48-58,0,2.36,2428.61,39.56,0,0,0.39,12.81,0,0.52,0,0,0,0,0.6,0,9.33,0,2.7,75.11,0,0,0,0,2.9,0,0,0,0,15.81,7.83,0,4.04
 60-70,0,4.41,1999.76,47.76,0,0,0,2.23,0,0,3.38,0,0,0,0,0,13.59,0.66,0,64.69,0,0,0,1.08,3.95,0,0,0,0,12.09,1.64,0,0
 72-82,0,0,1500.52,18.87,0.82,0,10.57,2.26,0.64,0,0,1.96,0,0.6,0,5.52,5.94,0,1.41,67.64,0,0.51,0,1.97,0.86,0,0,0,0,7.47,3.39,0,7.71
 84-94,0,0,1711.89,40.01,2.89,0,1.36,13.43,4.13,0,3.24,0.74,3.73,0,0.83,4.83,4.85,2.66,0,56.61,0,3.36,0,0,1.29,0,0.82,0,0,11.64,0,1.97,7.53
 96-106,0,0.98,2024.08,2.24,2.11,0,1.01,6.63,0,5.25,0.62,0,0,0,5.58,0,9.47,0,7.5,42.6,0.59,0,0,0,7.02,0,0,0,0,0,9.58,0,0
108-118,0.52,1.35,1313.57,15.12,0,0.55,1.82,1.3,0.73,0,3.65,1.42,2.5,0.69,0,0,5.15,0,0,31.72,1.31,0,0,0,1.8,0,0,0,0,1.49,8.21,1.28,0
120,0,0,1370.03,4.54,0,2.01,0,0,0,0,0,1.4,1.25,0,5.7,0,7.38,0,0,47.8,0,6.39,0,0,0,0,0,0,0,0,0,0,0
