stage,epidermis,eye,mesenchyme,neural,spinal_cord
  7-9,0,5.74,0,0,0
 10-12,0,0,0,3.01,0
 14-21,0,0,0,2.39,0
 24-34,0,0,0,0.84,1.03
 36-46,0,0,1.2,0,0
 48-58,0,0.41,0,1.37,0.79
 60-70,0,0,0,3.71,0
 72-82,0.96,0,1.58,0,0.74
108-118,1.99,3.25,0.62,0,0
120,0,0,2.33,0,0
