stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,31.3,0,0,12.13,0,0,0,87.05,4.44,0,21.22,0,0,0,0,0,0
 10-12,0,4.14,25.69,0,0,9.72,0,0,0,0,0,0,106.47,0,0,71.47,0,0,5.88,0,0,0
 14-21,0,0,0,5.07,0.88,3.35,0.89,0,0,0,1.18,0,29.62,0,0,1.32,2.86,3.06,1.28,0.94,7.83,0
 24-34,0,0,0,0.69,0,3.99,1.85,0,0,2.15,1.14,0.89,42.09,0,1.38,0,0,0,0,0,4.19,0.94
 36-46,0,0,0,0,0,4.3,0,0,0,0,0.73,0,18.26,0,0,0,3.13,0,0,0,1.66,0
 48-58,0,0,0,0,0,2.97,0,0,0.37,0,0.48,0,14.57,0,0.45,0,16.92,0,0,0,1.47,0
 60-70,0,0,0,0,0,2.95,0,0,0,0,0,0,3.6,0,0,0,2.31,0,0,0,0,0
 72-82,0,0,0,0,0,9.79,1.63,0,0,0,2.32,0,7.15,0,0,0,0.58,0,0,0,6.29,0
 84-94,0,0,0,0,0,4.38,0,0,0,0,1.41,0,6.3,0,0,0,2.07,0,0,0,0,0
 96-106,0,0,0,0.78,0,10.1,1.6,1.18,0,0.73,0,1.17,5.76,0,1.14,0,4.53,0,0,0,0,0
108-118,0,0,0,0.42,0,0,1.58,0,0,0,1.34,0.5,16.87,0,0,0,1.96,0,0,0,0,0
120,0,0,0,3.32,0,8.64,0,0,0,0,3.65,0,28.48,0,0,0,0,0,0,0,0,0
