stage,axial,blastomeres,eye,fin.epithelia,gut,mesenchyme,mural.cell,neural,periderm,presomitic.mesoderm,spinal.cord,xanthophores
  3-4,17.23,26.15,0,0,0,0,0,0,0,0,0,0
  5-6,0,29.66,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.78,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.89,0,1.34,0,0
 24-34,0,0,0,0,0,0,0,2.04,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.44,0
 48-58,0,0,0,0,0,0,0,5.66,0,0,0,0.42
 60-70,0,0,0,0,0,0,0.59,1.22,0,0,0,0
 72-82,0,0,3.88,0,0,0.66,0,3.12,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.32,0,0,0,0
 96-106,0,0,0,0.66,0,1.16,0,0,0,0,0,0
108-118,0,0,1.66,0,0.53,0,0,1.8,0.45,0,0,0
