stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,neural,olfactory,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,10.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0
 14-21,0,0,1.23,0,0,0,0,0,0,0,2.81,0,0.91,0.88,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0
 48-58,0,0,0,0.68,0,0,0,0,0,0,3.79,0,0,1.94,2.41,0
 60-70,0,0,0,0,0.87,0.64,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.61,0,0,0.53,0,0,1.56,5.61,0,0,5.18,0,0
 84-94,0,0,0,1.61,0,0,0,0,0,5.12,12.39,0,0,0,1.27,0
 96-106,0,6.65,0,9.5,0,0,0,0,3.66,4.5,1.37,0.56,0,0,0,0
108-118,0,0.49,0,1.48,0,0,0.59,3.63,0,9.73,10.29,0,0,0,0,0
120,0,1.24,0,0,0,0,0,0,0,7.54,0,0,0,0,0,6.72
