stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,xanthophores
  3-4,17.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.73,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0
 14-21,0,0,0.83,0,9.13,0,0,1.14,0,0,13.17,2.9,0,18.85,0,0,0.91,1.86,0,0.82,17.21,1.14
 24-34,0,0,0.62,0,4.29,0,0.64,0,2.96,0,22.35,3.7,0.77,43.75,1.38,0,0,0,0.62,0,13.75,13.75
 36-46,0,0,0,0,2.73,0,1,0,1.73,0,18.09,4.55,0,74.68,0,0,0,0,0,0,1.37,5.29
 48-58,0,0,0.93,0,5.76,0.65,5.43,0,16.26,0,16.34,1.79,0,26.5,0,0.48,0,0,0,0,0.78,0
 60-70,0,0,0,0,3.85,0,0,0,2.63,0,6.33,1.65,0,10.92,0,0,0,0,0,0,2.67,0
 72-82,0,0,0,0,10.57,0,0,0,1.7,0,1.18,4.07,0,10.89,0,0,0,0,0,0,2.96,0
 84-94,0,0,0.71,0,3.95,0,1.16,0,1.71,0,0,0,0,3,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.17,0,0,0,0,1.48,0,0.75,0.98,0,26,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.61,0,0,0,1.56,0,0,0,1.13,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.38,0,4.94,0,13.69,0,13.37,0,0,0,0,0,0,0,0
