stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 14-21,0,2.23,0,0,0,0,0,0,0,2.01,0,0,0.92,0,2.72,1.98
 24-34,0,3.16,0,0,0,0.67,0,0.91,0,49.57,0.78,0,0,0,20.01,30.47
 36-46,0,0,2.68,0,0,0,0,2.97,0,96.77,0,0,0,0,28.35,11.12
 48-58,0.88,0,17.8,0,1.91,0,0,8.44,0.63,146.97,0,0,0,0,27.01,12.76
 60-70,0,0,17.24,0,2.74,0,1.92,5.61,0,233.28,1.96,0,0,0,24.42,3.48
 72-82,0,0,42.38,0,2.73,0.53,0,21.49,0,200.54,0,0,0,0,5.5,6.75
 84-94,0.56,0,24.17,1.12,0,0.85,0.59,21.79,0,173.65,1.78,0,0,0,21.27,4.99
 96-106,1.89,0,36.46,0.85,5.91,0,0,41.72,0,87.78,0.57,0,0,0.6,8.61,2.74
108-118,3.46,0,19.78,0,3.11,0,0,33.24,0,133.35,2.8,0.5,0,0.42,4.65,13.6
120,0,0,25.09,0,0,0,0,46.11,4.24,314.49,0,0,0,0,0,22.84
