stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,144.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,1.46,0,0,0,0,0,1.04,4.37,0,0,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0.78,0,0,0,21.77,0,1.55,5.7,0,0,0,0,0,0,0.9,3.01,0,2.21,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,2.77,0,0,22.77,33.78,0,4.03,10.31,0,0,0,3.16,0,0,0,11.85,0,0,0,0
 48-58,0,0,0,0,0,4.08,6.45,0,0,0.82,0,0,0,0,0,0,0,6.33,0,0,5.73,49.75,0.65,0,29.93,0,0,0,0,0,0,0,1.83,0,0,0,0
 60-70,0,0,6.77,0,0,13.93,619.45,0,0,2.03,0,0,0,0,0,0,2.97,27.32,0,0,47.88,86.35,0,0,10.85,0,0,6.79,0,0,0,0,2.23,0,2.17,0,0
 72-82,0,0,0.58,3.14,0,42.76,1564.73,0,0.71,4.11,0.7,0,2.18,0,5.83,2.8,0,38.69,0,0,135.84,152.47,0,2.93,15.4,0,0,0.96,0,1.62,0,0,26.12,0,2.08,0,9.93
 84-94,0,1.29,1.37,3.7,2.12,64.43,2830.48,0.78,0,6.43,0,0.77,4.72,2.31,9.96,0,0,24.43,3.56,0,198.23,107.03,5.19,0,24.73,0,0,12.23,0,0,0,0,2.91,0,0,0,0
 96-106,0,0,21.02,13.43,0,132.12,4491.76,24.65,0.82,28.95,4.79,0,1.32,0,1.9,0,13.04,31.83,0.71,0.8,362.44,152.9,1.35,0.81,14.1,74.64,0,29.74,0,0,0,0,0,0,4.13,25.97,10.74
108-118,0,0.85,3.9,13.1,3.27,44.24,4173.84,0,0.75,8.36,2.26,0,0,0.45,0.61,0.5,3.69,43.64,0,0.97,323.07,138.83,0,3.12,10.47,0,0.76,4.99,0,0,0.5,0,3.29,0,0,0.7,2.2
120,0,0,3.45,1.36,0,38.73,4231.49,0,1.88,5.73,2.12,0,6.94,0,0,0,5.02,127.46,0,0,157.31,115.97,0,0,33.22,0,0,29.71,0,0,0,0,0,2.41,1.31,0,0
