stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,43.55,2119.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.77,0,0,0,0,0,0
  5-6,52.34,1270.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7,0,0,0,34.81,0,35.97,0,0,0,0,0,0
  7-9,0,26.86,0,0,0,0,9.71,0,0,0,5.61,0,0,0,0,0,0,127.83,0,0,0,41.11,0,19.99,27.09,0,0,0,0,0
 10-12,0,5.62,0,8.82,0,0,36.88,0,0,0,0,0,0,0,0,0,0,226.54,38.6,0,0,34.05,0,0,4.37,0,0,0,0,0
 14-21,0,0,0,0,19.03,0.89,6.08,0,7.72,0.92,0,0,0,2.13,0,0,0.93,88.98,3.83,5.23,0,3.3,0,32.84,0,4.22,0.81,38,0,2.45
 24-34,0,0,0,0,0,0,5.44,0,2.59,0,0,0,0.6,0,0,0,0.61,18.11,0.73,2.88,0.71,0,0,34.27,0,0,0,12.23,0,0
 36-46,0,0,0,0,0,0,2.16,0,0.8,0,0,0,0,0,0.87,0,0,14.28,0,2.65,0,0,0,22.11,0,0.63,0,9.36,1.06,0
 48-58,0,0,0,0,2.15,0,3.09,0,2.26,0,0,0,0,0,0,0,0,6.01,0,12.78,0,0,0,8.9,0,0,0,1.97,0,0
 60-70,0,0,0,0,0,0,18.22,0,1.98,0,0,2.46,0,1.48,0,2.87,0,10.67,0,0,0,0,0,14.06,0,0,0,1.78,0,0
 72-82,0,0,0,0,0.9,0,21.54,0,2.5,0,0,0,0,2.1,0,0,0,6.53,0,0,0,0,3.01,4.05,0,0,0,0,0.51,0
 84-94,0,0,1.23,0,0.6,0,49.96,0,9.6,1.25,0,0,0,4.5,0,0,0.95,8.66,0,0,0,0,0,24.48,0,0,0,0,0,0
 96-106,0,0,0,0,0.6,0,19.4,0,2.61,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,4.99,0,0,0,1.72,0,0
108-118,0,0,0,0,2.15,0,5.61,0.61,1.94,1.32,0,1.63,0.63,0.8,0,0,0,3.91,0,1.21,0,0,0,11.38,0,0,0,0,0.46,0
120,0,0,0,0,0,0,14.25,0,0,0,0,6.5,0,4,1.12,0,0,5.3,0,0,0,0,0,17.35,0,1.97,0,0,0,0
