stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,19.57,75.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.38,0,0
  5-6,6.94,140.68,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.72,0,0,0,0,0,0,0,16.65,0,0,11.71,0,0,0
 10-12,0,0,9.79,0,0,12.76,0,0,0,0,0,0,0,9.42,4.28,0,9.87,0,0,0
 14-21,0,0,0,4.04,0,0,0,0,0,0,1.05,0,0,4.96,0,0,0,0,1.97,0
 24-34,0,0,0,0.59,0.92,1.34,0,0,0,0,0,1.81,0,11.12,0,0,0,0.6,0,1.4
 36-46,0,0,0,0,0.57,1.74,0,0,0,0,0,0.66,0,34.72,0,0,0,0.73,0,1.01
 48-58,0,0,0,1.88,0,2.54,0.39,1.09,0,0,0,2.16,0,18.39,0,1.29,0,0.39,0,0.39
 60-70,0,0,0,0,0,21.75,0,2.24,0,0,0,0,1.09,7.54,0,0.98,0,1.56,0,0
 72-82,0,0,0,0.91,0,8.92,0,0,3.35,0,0,0,0,19.44,0,0,0,3.05,0,3.74
 84-94,0,0,0,0,0,16.04,0,0,0,0,0,1.38,0,13.72,0,0,0,1.62,0,0
 96-106,0,0,0,0,0,0,0,0,0,0.63,0,1.27,0,4.52,0,0,0,1.46,0,0
108-118,0,0,0,0,0,11.92,0,0,0.59,0,0,0,0,3.85,0,0,0,1.66,0,0
120,0,0,0,4.58,0,4.93,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0
