stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord
  3-4,0,16.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,6.56,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.14,2.52,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,1.41,0,5.57
 36-46,0,0,0,0,0,0,0,0,0,0,4.95,1.31,0,0,0,0,7.4
 48-58,0,0,0,0,0.44,0,3.19,0,2.48,0,18.93,0,0,0,0,0,6.75
 60-70,0,0,0,0,10.79,0,2.03,0,0.79,0.6,5.7,0,1.19,0.63,4.69,0,0
 72-82,0,0,0,0.51,2.78,1.07,0,0.91,6.45,0,1.72,0.53,0,0,0,0,4.95
 84-94,0,0,0,0,0,0,1.84,0,2.95,0,0,0,0,0,0,0,0
 96-106,0,0,3.69,0,13.09,0.65,3.74,0,7.27,0,0,0,0,0,0,0,1.91
108-118,0,0,0,0,7.26,0,1.53,0,0,0,0,4.46,0,0,0,0,0
120,0,0,1.1,0,15.22,0,0,0,16.2,0,0,6.22,0,0,0,0,0
