stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1387.3,4305.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.42,0,0,0,0,0,0,0,0,0,0
  5-6,2957.83,7090.62,167.11,0,0,0,0,0,0,0,0,0,267.24,0,0,0,0,0,0,0,0,0,0,0,2375.71,187.3,0,0,800.5,0,27.95,0,0,0,0,0,0,0,0,0,0
  7-9,1608.17,362.69,311.08,0,0,0,51.48,0,0,0,0,0,444.98,0,0,0,0,0,0,0,0,0,0,0,931.7,751.72,0,0,11538.27,0,8.69,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,4.96,164.88,0,13.3,0,51.53,0,0,0,0,0,14.93,0,0,0,0,0,0,0,0,0,0,0,673.68,62.58,0,0,364.2,0,0,0,0,34.74,0,9.79,0,0,0,0,0
 14-21,0,0,24.6,702.41,51.41,0,2070.23,0,0,0,97.02,3.78,0,0,0,0,1.52,3.58,0,0,190.1,0,0,843.41,2261.86,10.03,0,18.93,3.96,0,5.68,0,101.37,2.95,0,528.98,679.61,0,0,0,0
 24-34,0,6.67,12.76,119.32,3.72,0,1345.4,0,0,0,119.22,1.37,3.38,0,0,4.24,0.83,14.74,1.23,1.29,382.96,4.94,0,948.3,1308.81,21.37,4.99,5.66,10.77,0,18.1,0,7.31,0,0,21.35,1266.13,0,15.88,0,0
 36-46,0,0,0,25.44,1.97,0,596.76,0,0,0.98,160.47,0,0,0,0.57,0,0,1.77,5.43,2.25,340.19,1.3,0.89,335.59,724.65,34.38,2.7,1.85,0,0,1.93,0,0,0,0.63,0.83,805.93,0,14.91,0,0
 48-58,0,0,0,27.01,0,0,389.66,0.66,0,1.33,190.55,0,0,1.7,0.37,0.48,0,0,0,0,169.68,0,0.52,141.73,434.48,12.53,4.75,0.52,0,0,0.43,0,0,0,0.46,2.82,232.2,0,2.19,0,0
 60-70,0,0,0,4.93,0,0,222.6,0,1.09,0,153.28,0,0,0,0,0,6.31,1.77,0,0,123.44,0,9.12,41.42,96.61,16.69,0,9.61,0,0,0,0,0,0,0,0,50.81,0.57,3.83,2.44,3.21
 72-82,0,0,0,5.44,0,0,176.43,0.65,0,0,142.21,0,0,0,0,1.06,0,0,0,0,81.26,0,4.31,21.77,59.07,16.98,0,24.94,0,3.33,0,0,0,0,0,0,17.85,3.07,16.71,9.53,3.13
 84-94,0,0,0,5.07,0,0,204.79,0,0,1.43,78.25,0,0,0,0,0.68,0,0,0,0,58.29,0,4.97,20.9,46.72,15.66,0,17.39,0,0,0.64,0,0,0,0,0,12.61,1.61,9.22,0,0
 96-106,0,0,0,1.04,0,0.56,158.83,0,1.92,1.54,145.06,2.64,0,0,0,0.7,0,0,14.37,0,59.53,0,7.29,14.53,56,30.08,1.76,63.13,0,0,0.99,0,0,0,1.38,0,8.84,4.76,22.54,4.66,0
108-118,0.67,0,0,4.24,1.53,0,237.58,1.88,1.05,0,252.55,13.69,0,0,0,1.55,0,0,4.08,0,77.87,1.06,8.15,20.44,63.57,43.65,3.74,63.49,0,0,0,0,0,0,0,0,5.91,1.4,2.73,1.93,0
120,0,0,0,15.74,0,0,105.12,1.26,0,0,236.71,7.45,0,0,0,2.06,0,1.34,0,0,31.73,0,16.9,6.99,34.81,36.38,0,42.72,0,0,0,0,0,0,0,0,0,6.77,15.92,9.72,0
