stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,0,0,22.88,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,27.86,5.72,0,9.4,0,0,0,0,0,0,0
 14-21,0,0,0.89,0,0,0,0,0,0,0.81,0,0,0,0,3.57,0,4.87,1.55,0,0,0,4.42,0,4.34,3.76,0,0.96
 24-34,0,0,0,1.27,2.42,0,0,0,0,0,0,0,0,0,3.17,1.2,9.03,0,0,0,0,0,0,0.88,2.81,0,0
 36-46,0,0,0.93,0,0,0,0,0,0,0,0,3,0,0,1.61,0.74,13.07,0.66,1.4,0,7.03,0,2.03,0,3.65,0,0.73
 48-58,0,0,2.42,0,0,0,0,0,0,0,0.75,0,0,0,0,0,2,0.5,0,0,0.57,0,0,0,0,0,0.42
 60-70,0,0,0.73,0,2.3,0.95,0,0,0,0,0,0,0,0,12.57,0,2.03,0,0,0,1.29,0,0,0,1.27,0,0
 72-82,0,0,0,0,4.77,0,0,0,0.8,0,0,0,0,0,9.98,0.51,9.08,0.56,1.14,0,0,0,0,0,1.36,0,0.72
 84-94,0,0,1.99,0,2.89,0,0,0.68,0,0,0,0,0.79,0.57,0.6,0,4.55,0,0,0,0,0,0,0,0,1.21,1.54
 96-106,0,0,0.83,0,0,0,0.97,0,1.99,0.86,0,1.62,0,0,5.7,0,2.13,0,0,0,0,0,0,0,0,0,1.38
108-118,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0.69,1.89,0,0.5,2.15,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,0,0,7.25
