stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,165.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,381.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.48,22.77,0,3.37,0,0,0,16.94,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,363.19,5.05,0,0,47.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.32,0,35.01,0,15.21,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.36,40.96,0,0,70.36,0,0,0,0,25.8,0,0,0,0,0,0,0,0
 14-21,0,0,3.68,8.48,72.1,7.89,0,8.11,0,0,0,0.91,2.84,0,1.15,0,4.67,0,0,0,23.93,0,0,26.27,463.11,7.72,7.87,0,2.9,0,0,1.54,5.54,0.94,0,30.38,202.13,0,0,9.59,0,0
 24-34,0,0,14.33,3.75,174.51,0,0,33.38,0,26.87,0.78,17.76,2.29,0,1.93,0.6,18.36,0,1.42,0,56.12,23,0,52.19,2080.03,0,21.37,6.29,0,0,1.82,0,0,0.97,5.17,7.61,443.02,0,0,21.94,0,0
 36-46,0,0,1.1,0,112.13,0,0,87.91,2.58,42.65,0.94,9.78,0.66,0,1.2,0,2.94,0,4.41,8.3,74.28,4.06,0.77,19.16,3471.04,7.22,30.37,0.68,0,0,4.98,0,0,0,3.54,0,563.11,0,0,4.85,0,0
 48-58,0,0,1.67,0,67.68,0,0,95.83,0,46.51,0.92,15.16,2.09,0,1.63,1.12,14.34,0,1.4,0.39,35.34,7.02,0,13.67,1837.49,0,6.37,1.55,0,2.3,6.61,0,0,0,0,0,278.81,0,0,2.36,0,0
 60-70,0,0,3.3,0,94.66,0,0,109.1,0,59.68,2.29,11.05,9.63,0,0,1.14,9.89,0,0.69,7.26,40.88,0.84,15.61,6.2,1171.66,0,8.55,0,0,0,0,0,0,0,3.94,0,116.21,0,0,1.43,0,10.85
 72-82,0,0,4.86,0,61.6,2.04,0,70.4,0,29.12,0,13.63,15.61,0,0.55,0.73,11.23,0,0,0,38.32,9.76,7.62,3.4,629.67,0,7.1,1.32,0,0,1.41,0,0,0,0,0,93.24,0,0,1.53,3.49,0
 84-94,0,0,4.3,0,110.3,0,0,64.06,0,59.66,0.82,23.94,9.15,0,2.3,0.94,13.62,1.29,0,0,23.73,2.23,12.41,1.38,469.7,0,2.78,0,0,0,0,0,0,0,0,0,60.77,4.3,2.64,0.74,0,1.67
 96-106,0,0,1.15,0,125.98,8.91,0,31.63,0,38.67,0,21.77,10.33,0,0.66,2.04,4.99,0,1.44,0,30.76,6.34,2.42,4.07,335.96,0,12.15,0,0,0,9.75,0,0,0.69,0,0,34.6,1.53,1.78,1.97,2.37,0
108-118,0,0,2.35,0,144.47,0,0,34.5,0,66.76,0,14.72,14.44,0,0.43,1.16,12.79,2.45,0,0.6,21.86,4.19,6.01,1.71,540.1,0,8.83,0,0,0,0,0,0,0,0,0,24.4,4.35,0,0,1.27,6.5
120,0,0,0,0,129.85,9.23,3.69,52.45,0,49.19,2.36,31.53,14.09,0,0,2.75,5.72,0,3.46,0,4.55,5.62,5.31,0,418.56,0,0,3.34,0,1.79,0,0,0,0,0,0,69.6,9.06,0,0,0,3.17
