stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.89,240.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.91,292.47,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,32.09,0,0,0,0,0,0,0
  7-9,0,7.54,8.17,0,0,0,22.52,0,0,8.26,0,0,0,0,0,0,0,0,0,180.81,5.58,0,0,28.58,3.31,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,0,13.46,0,0,12.66,0,0,0,0,0,0,0,0,0,85.68,0,0,0,48.66,0,6.24,0,0,0,0,0,0
 14-21,0,0,0,6.58,0,0,0.82,2.28,0,1.29,1.23,0,1.08,0,0,2.87,0,0,0.91,29.53,0,0,0,1.62,0,0,0,5.91,8.09,0.86,0,0
 24-34,0,0,0,0.62,0.69,0,4.53,0,0,0,0,0,0.66,0,0,0.73,0,0,1.34,13.9,0,0,0,0,0,0,1.7,0,3.73,0,0,0
 36-46,0,0,0,1.37,0.57,0,5.83,0,0,0,0,0,0,0,0.57,0,0,0,0,44.07,0,0,0,0,4.65,1.02,0,0,4.13,0,0,0
 48-58,0,0,0,1.69,0,0,16.36,2.18,0,0,0,0,4.93,1.22,0,1.93,0.41,0,2.07,11.27,0,1.16,4.65,0,5.09,0,0,0,1.34,0,0,0
 60-70,0,0,0,1.35,0,0,1.61,0,6.9,0,0,4.2,0,0,0,1.22,0,0.87,0,24.14,0,0.96,0.85,0,9.83,0.58,0,0,1.79,0,0,0
 72-82,0,0,0,4.49,4.15,0,33.82,7.15,0,0,0,0,0,0,0,8.23,0.79,0,0,37.99,0,0.88,2.7,0,0,0.73,0,0,5.05,1.17,0,2.1
 84-94,0,0,0,1.98,0.98,0,2.17,1.19,0,0,0.7,0,1.12,0,0,5.57,0,0,1.47,7.13,0,3.37,0,0,12.63,0,0,0,0,1.71,2.61,0
 96-106,0,0,0,3.5,17.03,0,5.34,9.2,0,0,0,0,1.25,0,0,2.23,0,0,0,6.57,0,0,2.33,0,23.98,0,0,0,0,1.82,0,0
108-118,0,0,0,0.6,0,0.59,1.26,0,1.24,0,0,0,0,0,0,2.47,0,0,0,9.97,0,1.5,2.03,0,8.05,0.47,0,0,0,0,0,0
120,0,0,0,3.85,1.29,0,2.7,0,0,0,0,6.07,3.69,0,2.07,15.53,0,0,1.94,9,0,0,2.25,0,15.7,0,0,0,0,3.54,0,0
