stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,15.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,28.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,17.47,0,0,0,0,0,0,0,0,4.52,0,0,22.24,0,0,8.87,0,0,0,0,0,0,0
 10-12,0,6.86,5.78,0,0,0,0,0,0,0,28.87,0,0,0,0,0,0,0,0,35.34,0,0,23.89,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,36.87,2.88,4.18,0,0,0,1.26,2.05,1.07,0,2.62,0,6.67,0,0,0,10.3,0,6.83,0,0,53.12,0,0.91,0,0.92,5.02,0,3.06,0
 24-34,0,0,0,0.69,0,1.32,0,0,0,0,0,0,0,4.53,0,0.9,0,0,1.38,13.29,2.62,1.63,0,0,5.76,0,0,0,0,5.18,0,0.89,0
 36-46,0,0,0,2,0,0.62,3.16,0,0,0,0,0,0,8.42,0,0,0,0,0,12.04,0.91,0,0,0,8.69,0,0,0,0,6.02,0,0,0
 48-58,0,0,0,1.22,0,12.94,1.87,0,0,0,0,0,0,3.04,0,3.98,1.81,0,0,23.13,0.41,0,0,0,10.35,0,0,0,0,0.48,0,0,0
 60-70,0,0,0,1.65,0,3.66,0,0,0,0,0,0,0,6.06,0,6.85,4.65,0,0,14.39,0,0,0,0,8.59,0,0,0,0,0,0,1.05,0
 72-82,0,0,0,0,0,14.66,0,0,2.73,0,0,0,0,2.66,5.24,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.7,6.23,3.77,1.52,0,0.64,4.93,0,0,1.05,6.12,0,9.67,0,0,0,5.12,0,0,0,0,0.77,0,0,0,0,0.65,0,0.84,0
 96-106,0,0,0,12.82,2.85,0,0.68,3.45,0,0,0,0,0.63,21.48,0.75,5.59,1.41,0,0,18.32,0,0,0,2.69,7.58,0,0,0,0,0,0,0,0
108-118,0,0,0,2.31,1.37,2.28,1.83,0,0.63,1.44,0,0,0.54,41.46,0,4.26,0,1.13,0,10.25,0.46,2.86,0,0,4.05,0,0,0,0,0,0.77,0.49,0.62
120,0,0,0,8.28,0,0,1.23,0,0,0,0,0,3.62,18.64,0,0,15.77,0,0,22.68,0,1.43,0,0,2.18,0,0,1.14,0,0,0,0,0
