stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,12.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.45,4.28,0,0
 10-12,0,0,0,0,0,0,6.87,0,0
 14-21,0,1.02,0,0,1.23,1.11,0,0,0
 24-34,0,0,0,0,0,2.06,0,1.05,0
 36-46,0,0,3.89,0.71,0,3.02,0,1.66,0
 48-58,0,0,2.8,0,0,11.43,0,0.83,0
 60-70,0,0,2.27,0,0,6.56,0,0,0
 72-82,0,0,3.69,0,0,18.34,0,0,0
 84-94,0,0,0,0.66,0,14.81,0,0,0
 96-106,0,0,2.45,0,0,0.97,0,0,0.66
108-118,0,0,1.39,1.54,0.5,21.23,0,0,0
120,0,0,0,18.45,0,15.31,0,0,0
