stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,46.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.08,0,14.38,0,0,0,0
 10-12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.85,0,17.92,0,0,0,0
 14-21,0,0,0.91,0,0.82,0,0,1.1,0,0,0,0,0,0,2.39,0,1.58,14.9,0,0,0,0,9.94,0
 24-34,0,0,0,0,1.94,0,0,1.06,0,0,0,0,0,0,0.71,0,0,6.49,0,0,0,0,0,0
 36-46,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,2.18,0,0,9.23,0,0,0,1.31,7.29,0
 48-58,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,2.61,0,0.67,2.46,0,0,0.66,0,0,0
 60-70,0,0,0,0,0.99,0.86,0,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0,0,1.82
 72-82,0,1.08,0,0,6.34,0,0,0.69,0,0,4.18,0,0,1.95,2.16,0,1.39,0.78,0,0,0,0,0,0.71
 84-94,0,0,0,0,0.65,1.88,0,17.37,0,1.93,0,0,0,0,3.91,0,1.83,8.29,0,0,1.16,0,0,0.55
 96-106,0,0,0,0,8.55,0,0,2.19,0,3.47,0,0,1.06,0,3.71,1.85,0,18.19,0,0,0.62,0,0,4.73
108-118,0,0,0,0.75,12.97,0,0.75,1.81,0.47,0,0.44,0,0,0,6.13,0,4.79,3.01,0.5,0,4.27,0.87,0,0.54
120,0,5.26,0,0,0,0,0,0,0,2.51,0,3.97,0,0,12.13,0,2.22,18.9,0,0,1.77,0,0,4.22
