stage,axial,blastomeres,endocrine.pancreas,exocrine.pancreas,eye,gut,liver,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,14.84,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.34,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.82,4.19,0,0
 10-12,0,0,0,0,0,0,0,0,8.1,3.86,0,0
 14-21,0,0,1.05,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.72,0,0,0.85
 36-46,0,0,0,0,1.33,0,0,0,5.27,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.51
 60-70,0,0,0,0,5.94,0,2.45,0,1.08,0,0,0
 72-82,0,0,0,0,5.38,0.51,4,0,0,0,0,0
 84-94,0,0,0,1.52,10.41,0,15.55,0.66,0,0,2.39,0
 96-106,0,0,0,0,13.27,0,8.96,1.49,2.64,0,2.24,0
108-118,0,0,0,0,8.06,0.7,43.3,0,0,0,0,0
120,0,0,0,0,7.11,0,5.26,0,1.33,0,0,0
