stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,37.38,164.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21,0,0,0,0,0
  5-6,6.56,203.62,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.36,0,0,18.91,0,0,11.13,0,0,0
 14-21,0,0,0,4.2,0,0,0,0,0.92,0,0,0,0.98,0,0.89,0,0,0,0,1,4.25,0,2.02,0,0
 24-34,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,1.14,7.83,0,0,0,31.64,0,0,1.47,0,1.57
 36-46,0,0,0,0,0.81,0,0,1.12,0,0,0,0,0.71,0,0,2.09,0,0,0,62.84,0,0,0,0,0
 48-58,0,0,0,0,1.06,0,2.25,5.49,0,0,0,0.54,0,7.98,0,2.64,0.47,0,0,81.17,0,0,0,0,0
 60-70,0,0,0,0,4.57,0,2.82,3.37,0,0,0,0.77,0,0,0,2.05,0,0,0,63.55,0,0,0,0,1.3
 72-82,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,4.34,0,0.71,0,28.7,0,0,0,0,0.61
 84-94,0,0,0,9.77,4.38,0.7,3.71,0,0,0,0,0,0,0,0.6,4.07,0,0,0,70.41,0,0,0,1.4,4.19
 96-106,0,0,0,0,0.64,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,42.84,0,0,0,2.42,0
108-118,0,0,0.59,4.55,0,0,0,0,0,0,1.9,0,0.99,0,0,2.9,1.23,0,0,35.18,0,0,0,0,0
120,0,0,0,6.37,2.86,0,0,2.6,0,0,0,0,0,0,0,3.86,0,0,0,83.87,0,0,0,0,0
