stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.27,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,12.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.74,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0,2.16,0,0,0,46.51,0,0,0,0,0,1.38,0,0.89,6.73,14.75,0,0,0,0
 24-34,0,0,0,0,0,5.57,0,0,0,10.76,0,0.8,0,0.63,0,0.93,0,1.71,15.34,0,0,0.85,234.43,0.64,0,0,0,0,0,0,0,1.31,38.65,0,1.68,0,0
 36-46,0,0,0,0.71,0,2.79,0,0,0.58,37.29,0,0,0,0.66,0,0,0,2.14,6.71,0,0,0,246.64,0,0,2.8,0,0,0,0,0,0,60.89,0,1.01,0,0
 48-58,0,0,0,0,0,18.02,0,0,0.71,79.5,0,0,0,0,0,0.74,0,2.73,16.73,0,0,2.24,111.99,2.65,0,1.62,0,0,0,0,8.6,0,83.09,0,1.01,0,6.7
 60-70,0,0,0,1.74,0,24.56,0,0,0,64.31,1.45,0,5.34,0,0,1.13,0,0,17.66,0,3.73,1.02,90.84,0,0,0,0,2.78,0,9.88,0,0,18.68,0,0,0,0
 72-82,0,0,0,0.52,3.29,15.2,0,0,0.78,68.36,0,0,2.17,1.02,0,0,0.79,0,27.65,0,4.32,1.45,48.56,0,0,3.09,1.13,0,0,0,0,0,4.95,0,2.39,0.56,0
 84-94,0,0,0,0,6.11,12.06,0,1.44,0.84,64.27,0,0,2.32,0.68,1.22,0,0,0,52.7,0,0.83,8.22,31.05,0,1.95,3.68,3.85,0,0,0.56,0,0,16.98,0,4.36,0,2.12
 96-106,0,0,0,0,0.84,10.86,0,0,3.55,45.71,0,0,1.55,0.74,0,3.73,0,0,33.43,1.49,1.34,2.51,15.2,0,2.07,0.57,0,0.87,0,0,0,0,2.02,0,10.58,0,0
108-118,0,3.13,0,0.58,0.84,6.54,0.54,2.16,0,61.47,1.04,0,3.66,0,0,0.51,0,3.69,31.86,0.96,0,0.78,21.3,0,1.07,6.56,0,0,0,1.37,0,0,6.4,1.24,0.45,1.79,2.4
120,0,0,0,1.07,8.05,7.87,0,0,0,83.24,0,0,9.56,0,0,0,0,0,26.12,0,1.26,0,63.55,0,0,1.66,0,0,0,1.12,0,0,0,0,0,0,0
