stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143.09,0,0,0,14.57,0,6.2,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,73.73,0,0,0,0,0,0,0,0.92,0,0,565.29,1.45,0,0,2.83,31.16,0,0.93,15.48,6.66,0,6.78,0,0,10.13,1.46,0,0,13.33,8.67,0,0,0,0,0
 24-34,0,0.88,9.73,0,0.95,0,2.36,0,1.99,0,0,6.86,0,668.43,3.48,0,0,0.75,56.48,0,0,58.47,8.85,1.74,0,0,0,0,0,0,6.46,0,7.84,0,0,1.69,0,0
 36-46,0,0,11.84,0,5.35,0,3.09,0,0,0,0,45.45,0,284.01,11.95,0,0,0.57,38,0,0,89.5,0.8,0,0,0,0,1.9,0,0,23.76,0,4.03,0,0,0,0,0
 48-58,0,0,9.31,0,6.91,0,0,0,2.15,0,0,17.99,0,77.22,4.68,0,0,13.77,17.59,0,0,97.89,0,1.29,8.73,0,0,0,0,0,2.07,0,9,0,0,0,0,0
 60-70,0,0,15.96,0,19.69,14.8,0,0,52.71,0.88,0,0,1.94,104.72,1.5,0.64,0,9.57,13.87,3.23,0,105.63,0,1.89,11.9,0,0,9.29,0,0,0,0,2.15,0.81,28.81,0,3.53,0
 72-82,0,0,14.82,3.59,90.25,63.84,0,0,140.63,7.25,0,40.21,0,177,3.92,0,0,43.04,7.16,4.33,0,265.72,0,0,18.79,1.13,4.52,1.14,0,0,0,0,8.95,9.08,73.67,1.96,28.42,8.98
 84-94,0,0,24.15,4.03,62.39,85.37,4.86,0,84.07,14.37,0,13.78,0,273.52,7.64,3.39,0,19.62,14.64,1.76,2.04,93.52,0,11.33,4.94,0,36.71,0.57,0,0,0,0,9.83,6.74,116.61,0,68.52,0
 96-106,2.22,0,84.52,12.97,146.04,133.92,2.43,11.55,197.27,39.75,0,0,0.65,318.71,9.99,12.71,0,105.36,16.67,51.49,0.56,125.38,0.64,13.91,45.21,0,31.89,4.53,0,0,0,0,12.6,14.51,147.99,0.9,136.11,0
108-118,0,0,118.19,1.76,100.69,27.97,1.21,4.62,193.85,97.24,0,10.21,0,338.14,26.01,3.65,4.9,101.06,17.67,76.77,2.19,123.65,1.2,10.68,8.06,0,41.08,9.09,0,0,0,0,3.37,29.97,237.87,1.6,177.17,0
120,0,0,99.18,0,49.98,123.36,4.15,0,168.38,116.95,0,0,0,171.92,33.7,1.69,19.61,192.8,9.21,194.95,10.55,157.86,0,3.07,17.96,0,59.63,0,0,2.43,0,0,6.18,27.56,224.24,8.47,117.43,0
