stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.05,0,59.47,7.09,0,3.26,0,0,0,23.72,0,3.18,0,0,0,0,0,0,2.94,0,0,7.71,157.89,5.42,6.89,4.32,13.49,0,62.11,0,37.57,28.2,5.23,39.71,99.82,0,0,1.86,0,0
 24-34,0.66,0.59,5.4,0,0,8.2,8.76,3.59,0,23.74,0.64,3.46,0,11.74,0,0,0,0,19.64,0,0,1.73,222.61,7.66,17.74,1.16,0,0,78.2,0.98,1.02,7.64,3.99,4.93,108.33,0,0,3.95,0,0
 36-46,0,0,4.6,0,0,15.17,0,0.6,0,18.11,1.29,0,0,0,0,7.51,0,2.15,7.22,0,6.41,3.44,429.83,11.05,32.1,3.55,0,0,61.98,0.81,0,7.12,0,0,108.05,0,0,0.92,0,0
 48-58,0,0,3.11,0,0,22.34,0,2.13,0,26.88,0,0.42,0,0.44,0,0.4,6.3,0.41,19.85,0,0.77,0.61,424.27,11.15,23.32,2.17,0,0,31.44,0,0,0.61,1.07,0,113.09,0,0,0.47,0,0
 60-70,0,0,0,0,0,79.19,2.57,1.33,2.5,24.71,0,3,0,0,2.04,1.36,0,1.24,18.29,0.58,12.11,0.63,719.83,0,24.53,0.63,0,0,15.6,0,0,1.5,0,0,123.55,0,0,1.24,0,5.09
 72-82,0.68,0.75,4.36,11.93,0,65.47,0,0,5.14,53.11,0,0,0,0,0,0,0,0,65.83,0,1.4,4.3,533.82,0,22.46,1.96,0,0,4.72,0,0,0.75,0,0,71.56,5.9,0.97,0,1.72,0
 84-94,0.56,1.01,1.1,6.25,0,63.57,0,0,0,35.23,0,0,1.47,0,0.97,1.29,0,2.47,49.22,0,0,1.77,369.48,0,25.52,5.08,0,0,17.98,0,0,1.4,0,0,55.7,2,0.71,4.28,2.93,2.9
 96-106,2.93,0,0.74,3.47,0.8,88.5,0,0.84,3.31,46.49,3.14,0,0,0.56,0,2.23,0,0.68,40.24,2.12,0,1.68,281.12,0.61,39.93,9.52,0,1.36,5.5,0,0,0,0,0,22.83,0.62,0,3.95,2.43,0
108-118,0.88,0.49,2.87,1.56,1.01,69.79,0.92,0,2.93,25.21,0.42,1.35,0,1.52,3.5,2.26,0,2.87,26.13,0,1.88,1.54,466.88,0,22.85,11.84,0,0,12.73,0,0,2.22,0,0,20.77,0,0.64,0,1.02,0
120,0,0,6.12,0,1.61,96.76,0,0,1.29,31.1,0,0,1.19,0,0,6.07,1.97,1.51,38.56,1.59,2.33,2.02,766.65,0,12.44,6.39,0,0,4.25,0,0,0,0,0,11.08,0,10.83,0,0,0
